company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Suncorp Group,https://www.linkedin.com/company/suncorp,https://www.linkedin.com/company/166197,suncorpgroup.com.au,"Suncorp Group offers insurance products and services through some of Australia and New Zealand’s most recognised brands. Our purpose is to build futures and protect what matters – the focus of our company for more than 100 years.  With the passion of our people, and our portfolio of brands including AAMI, GIO, Vero, Bingle, Apia and more, our ambition is to be the leading Trans-Tasman insurer. We put our customers at the heart of every decision, and we genuinely care about our customers and the communities in which they live. At Suncorp Group, we are big on culture, which is why ours is built on trust, empowerment, and flexibility, to help our people unlock their full potential and unleash their best and brightest selves. A career with us is more than just a job, it is an opportunity to positively impact the lives of thousands of people through the work you do each day.",,10859,"Brisbane City, Queensland, Australia",,,Brisbane,,,,,,insurance,financial services,,,General Insurance,10000+,,,,,,,,,
AMP,https://www.linkedin.com/company/amp,https://www.linkedin.com/company/4007,amp.com.au,"Beginning in 1849 as the Australian Mutual Provident Society, today AMP Limited is a retail wealth management and banking business supporting approximately 1.5 million customers across Australia and New Zealand. We offer expertise in financial advice, superannuation and banking to help people achieve their financial goals and create their tomorrow.For information on AMP products and services, Australia: Visit amp.com.au or call 133 888 within Australia New Zealand: Visit amp.co.nz or call 0800 267 111 within New Zealand Community guidelines: Please note, AMP has the right to remove any comment or material published to our page that we consider defamatory, offensive, unlawful, indecent, misleading, false, deceitful, profane, or threatening to users or the company. We will also delete comments that are negative or hateful towards race, sexuality, gender, ethnicity, religion, disability, age, social status, or education. Any public posts that include personal details will be deleted for privacy purposes. Comments that are considered off-topic or spam may also be subject to removal.",,4846,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,financial services,,,,"Financial Planning and Advice,Superannuation,Investments,Banking",1001-5000,,,,,,,,,
BT,https://www.linkedin.com/company/bt-financial,https://www.linkedin.com/company/162820,bt.com.au,"BT is the wealth management brand of the Westpac Group, helping Australians from all backgrounds manage, grow and protect their money.From our beginnings in 1969, we have fostered a strong culture of intelligent expertise and insights. We have strong financial services heritage in Australia, giving you the assurance that you are dealing with experienced and knowledgeable experts, supported by the strength and stability of the Westpac Group. ",1969,2156,"Millers Point, New South Wales, Australia",,,Barangaroo,,,,,,financial services,,,,"Provider of investment management,Superannuation,General and life insurance",1001-5000,"https://twitter.com/BT_Financial, https://facebook.com/BTFinancial",,,,,,,,
ASX,https://www.linkedin.com/company/asx,https://www.linkedin.com/company/162565,asx.com.au,"ASX is one of the world’s top ten exchanges. As a full-service exchange, we offer trading, clearing, settlement, market insights, connectivity, and depository services across all major asset classes including equities, derivatives, ETFs, options, and managed funds. With a total market capitalisation of around $1.5 trillion, ASX is home to some of the world’s leading resource, finance, and technology companies. Our $47 trillion interest rate derivatives market is the largest in Asia and among the biggest in the world.ASX’s network and data centre (The Australian Liquidity Centre) provides a world class financial infrastructure and access to Australia’s largest pools of liquidity.",1987,1761,"Millers Point, New South Wales, Australia",,,Sydney,,,"20 bridge street, sydney, new south wales, australia",2000,+61293380000,financial services,,,,,1001-2000,"https://twitter.com/ASX, https://facebook.com/asxeducation",,951500000,"Bluekai, Adobe Tag Management, VueJS, SharePoint, ServiceNow, Salesforce, Qualtrics, Outlook, Nginx, Mobile Friendly, Mimecast, Microsoft Office 365, Google Tag Manager, Google Analytics, F5 BIG-IP, ExactTarget, DoubleClick, Bootstrap Framework, Amazon SES, Adobe Marketing Cloud, Adobe CQ",,,,,
Westpac,https://www.linkedin.com/company/westpac,https://www.linkedin.com/company/3597,westpac.com.au,"From rescue helicopters and signing the Equator Principles, to paying super during parental leave and initiatives like Westpac SaferPay and SafeCall to protect customers from scams... we have a proud history of stepping up to be first for our customers, communities and people. We are Australia’s oldest bank and first company and have been supporting customers for over 200 years. Our purpose is creating better futures together – it’s what we do, who we are and why we come to work every day. With this purpose in mind, we’ve set ourselves a bold ambition - to be our customers’ #1 bank and partner through life. Through our unique portfolio of brands comprising Westpac, St.George, Bank of Melbourne, BankSA, BT and RAMS, we’re focused on meeting the financial services needs of our 13 million customers. When you join Westpac Group, you’ll be empowered to make a difference, constructively challenge and create a future worth striving for. But best of all you’ll be joining a whole organisation of people who love working together to help others create their best future.  Westpac Group acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past, present and future.Westpac Banking Corporation ABN 33 007 457 141. AFSL and Australian credit licence 233714.",,15007,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,banking,,,,"banking,financial services,institutional banking,corporate banking,migrant banking,business banking,personal banking,Private Bank,Agribusiness,investments",10000+,,,,,,,,,info@westpac.com.au
Afterpay,https://www.linkedin.com/company/afterpay-com-au,https://www.linkedin.com/company/6579038,afterpay.com,"We started a movement in which everyone can win – shoppers, retailers, society and every person on our team. To play fair, trust people and reward them for doing the right thing. We see and feel the impact of our work as more and more people gain financial freedom and retailers grow across the globe.Founded 11 years ago in Sydney, Australia, Afterpay has millions of active customers globally and is offered at the world’s best retailers around the world including Lululemon, Ikea, Expedia, Sephora, Dick's Sporting Goods, Wayfair and many others. Afterpay is on a mission to power an economy in which everyone wins.Afterpay is completely free for customers who pay on time – helping people spend responsibly without incurring interest, fees or extended debt. Afterpay empowers customers to access the things they want and need, while still allowing them to maintain financial wellness and control, by splitting payments in four, for both online and in-store purchases. Afterpay is deeply committed to delivering positive outcomes for customers. We are focused on supporting our community of shoppers.We trust in the next generation and share a vision of a more accessible and sustainable world in which people are rewarded for doing the right thing.",,662,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,financial services,it services and it consulting,,,"Retail,Finance,Online Retail,Personal Finance",501-1000,,,,,,,,,
Commonwealth Bank,https://www.linkedin.com/company/commonwealthbank,https://www.linkedin.com/company/2848,commbank.com.au,"Australia’s leading provider of financial services including retail, premium, business and institutional banking, funds management, superannuation, insurance, investment and sharebroking products and services. We are a business with more than 800,000 shareholders and over 52,000 employees. We offer a full range of financial services to help all Australians build and manage their finances.Connect with us, we'd like to hear from you:facebook.com/commonwealthbanktwitter.com/commbankyoutube.com/commbankyoutube.com/commbankbusinessinstagram.com/commbankOur Community Guidelines can be found at:https://www.commbank.com.au/support/social-networks.htmlFor information on our Privacy Policy visit https://www.commbank.com.au/support/privacy",,43769,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,financial services,,,,,10000+,,,,,,,,,
Westpac Group,https://www.linkedin.com/company/westpac-group,https://www.linkedin.com/company/2729759,westpac.com.au,"From rescue helicopters to signing the Equator Principles, from paying super during parental leave to adding 'Touch ID'​ biometric technology to our banking apps and being first on the scene with a helping hand in times of crisis... we have a proud history of stepping up to be first for our customers, communities and people. As Australia’s first bank and Australia’s first company we put service at the heart of everything we do and our people are our priority. We've grown up as a company and expanded both in Australia and throughout Asia, the United Kingdom and the United States. Now we are made up of your favourite financial institution names including Westpac, BankSA, St.George Bank, BT Financial Group, RAMs and Bank of Melbourne, a change of job doesn’t mean a change of employer at Westpac Group.We've made a commitment to put our customers first in everything we do. This means creating fundamentally superior customer experiences for each customer, every time. We promise that when you meet with someone from Westpac Group, you'll be touched by their genuine dedication to helping our customers prosper and grow.Westpac Group acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past and present.",1817,7429,"Millers Point, New South Wales, Australia",,,Sydney,,,"275 kent street, sydney, new south wales, australia",2000,+61292939270,financial services,,,,,5001-10000,"https://twitter.com/westpac, https://www.facebook.com/Westpac",,,"iTunes, YouTube, VueJS, Umbraco, Taleo, Route 53, React, Outlook, Mobile Friendly, Microsoft Application Insights, Google Play, Eloqua, Amazon SES, Amazon CloudFront, Amazon AWS, Afterpay, Omniture (Adobe), Marketo, DigitalOcean, Adobe Marketing Cloud, Adobe CQ",,,,,info@westpac.com.au
Macquarie Group,https://www.linkedin.com/company/macquariegroup,https://www.linkedin.com/company/3537,macquarie.com,"At Macquarie, we empower people to innovate and invest for a better future. We are a global financial services organisation with Australian heritage, operating in 34 markets. To find out more, visit us at www.macquarie.com  To read our social media disclaimer, visit macq.co/SocialMediaDisclaimer",,20866,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,financial services,,,,"Advisory and capital raising,financing,investing,leasing,research,trading and hedging,and banking, advice and intermediary services,funds management",10000+,,,,,,,,,
Hyperwallet,https://www.linkedin.com/company/hyperwallet,https://www.linkedin.com/company/150981,hyperwallet.com,"Pay the planet with Hyperwallet. At Hyperwallet, our goal is to provide organizations with a fast, efficient, and transparent way to distribute funds to their global contractors, suppliers, and resellers. Built atop sophisticated online and mobile payments technology, Hyperwallet’s advanced payment architecture unifies fragmented financial infrastructure in a singular environment. The end result is a global payout platform unlike anything you’ve ever seen.Hyperwallet’s global payout platform enables localized, multi-currency distribution to just about anywhere in the world. Our payout solutions are available as an SaaS or through REST API integration, and all include systems monitoring, maintenance management, payee support tools, and KYC/AML compliance. Our range of unique payout options ensure that your payees get their money quickly, conveniently, and affordably—wherever they are.Contractor or reseller, local or global. Whatever your payout needs, Hyperwallet’s got you covered.",2000,60,"San Francisco, California, United States",,,San Francisco,,,,,+18554493737,financial services,,,,"Online & Mobile Payments,International Payments,Financial Technology Solutions,Prepaid Cards,Global Bank Deposits,Virtual Prepaid Cards,Check Delivery,Direct to Card,Cash Via Agent",51-200,"http://www.twitter.com/hyperwallet, https://facebook.com/hyperwallet, http://angel.co/hyper-wallet-systems",,,,,,,,
