company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
The Royal Melbourne Hospital,https://www.linkedin.com/company/theroyalmelbournehospital,https://www.linkedin.com/company/32806,thermh.org.au,"The Royal Melbourne Hospital (RMH) began in 1848 as Victoria’s first public hospital. And while we only had 10 beds to our name, we had the community of Melbourne behind us, and we were ready to provide the best possible care for those in need.Health care has changed a lot since then, but our desire to serve the people of Victoria with an appropriately skilled and compassionate workforce has not. We’re still at the forefront of innovative research and discoveries – working hard to redefine the highest standards of care.Excellence is something we strive for together. We’re committed to working alongside our partners in care, research and education, so we can shape the next generation of leading clinicians, scientists, researchers and educators.We’re for Melbourne’s health and have considered how we can best contribute to the health needs of the community, which is reflected in our purpose, values and community promise:Our purpose: Advancing healthcare for everyone, every dayOur community promise: Always there when it matters mostOur values: People first. Lead with kindness. Excellence together.The RMH includes our Parkville, Royal Park and Elizabeth St sites, mental health sites across the northwestern suburbs of Melbourne, and the world-renowned Peter Doherty Institute for Infection and Immunity, which is a joint venture with the University of Melbourne.",,5333,"Parkville, Victoria, Australia",,,Parkville,,,,,,hospitals and health care,,,,,5001-10000,,,,,,,,,
SA Health,https://www.linkedin.com/company/sa-health,https://www.linkedin.com/company/691668,sa.gov.au,"Welcome to SA Health.Our visionThe best health for South Australians.At SA Health we are committed to protecting and improving the health of all South Australians. We do this by providing leadership in health reform, public health services, health and medical research, policy development and planning, with an increased focus on wellbeing, early intervention and quality care.Our public health services meet the needs of South Australians in metropolitan and regional locations through a network of hospitals and health services.  Our missionSA Health will lead and deliver a comprehensive and sustainable health system that aims to ensure healthier, longer and better lives for all South Australians.Our valuesSA Health is committed to the values of integrity, respect and accountability. We value care, excellence, innovation, creativity, leadership and equity in health care provision and health outcomes.We demonstrate our values in our interactions with others in SA Health, the community and those for whom we care.",,8617,"Adelaide, South Australia, Australia",,,Adelaide,,,,,,hospitals and health care,,,,"Public hospitals,dental services,metropolitan and country health service delivery,mental health services,emergency and ambulance services,drug and alcohol services,communicable disease control,environmental health,epidemiology.",5001-10000,,,,,,,,,
St John of God Health Care,https://www.linkedin.com/company/st-john-of-god-health-care,https://www.linkedin.com/company/108401,sjog.org.au,"St John of God Health Care is a leading Catholic not-for-profit provider of high-quality health care and community services in Australia and New Zealand.As a not-for-profit health care provider, we return all surpluses to the communities we serve by updating and expanding our facilities and technology, developing new services, investing in people, and providing our social outreach services to those experiencing disadvantage.Our MissionTo continue the healing mission of Jesus.Our VisionWe are recognised for care that provides healing, hope and a greater sense of dignity, especially to those most in need.",,4486,"Perth, Western Australia, Australia",,,Perth,,,,,,hospitals and health care,,,,,1001-5000,,,,,,,,,
Ramsay Health Care,https://www.linkedin.com/company/ramsay-health-care,https://www.linkedin.com/company/41224,ramsayhealth.com,"Ramsay Health Care is a trusted provider of private hospital and healthcare services in Australia, Europe and the United Kingdom. Every year, millions of patients put their trust in Ramsay, confident in our ability to deliver safe, high-quality healthcare with outstanding clinical outcomes. We operate hundreds of hospitals, day surgeries, primary care clinics, mental health services, diagnostics and imaging centres across eight countries. Ramsay’s integrated health services are also available at home and in the community through personalised cancer and cardiac care, psychology, allied health, virtual monitoring and telehealth. Ramsay employs more than 90,000 of the best people in healthcare and supports a wide range of teaching, training and research. We are guided by our longstanding purpose of ‘people caring for people’ and driven by our vision to be a leading healthcare provider of the future.",,11069,"Sydney, New South Wales, Australia",,,Sydney,,,,,,hospitals and health care,,,,"Healthcare,Cancer,Mental Health,Cardiac,Maternity,Orthopaedic,Surgical Centres,Private Health,Womens Health,Research,Rehabilitation ,Hospital,Psychology ,Ramsay Connect ,Medical ",10000+,,,,,,,,,
Australian Red Cross Lifeblood,https://www.linkedin.com/company/australian-red-cross-lifeblood,https://www.linkedin.com/company/388451,lifeblood.com.au,"Australian Red Cross Lifeblood is a division of the Australian Red Cross. We’re an organisation committed to providing life-giving essence to support the everyday well-being of all Australians.We’ll always be there for Australia. Not just by giving blood, but through our clinical excellence, commitment to education and our ongoing investment in research and development. We’re a team of experts who deliver safe, high quality products time and time again. We work tirelessly to develop innovative solutions, whether it be for blood, organ matching, tissue typing or donated breast milk. We’re here to support all Australians — from the youngest to the most vulnerable —when they need us.We’re united through the power of humanity to build a healthier nation.What we do is only possible through the generous donations of almost half a million unpaid voluntary donors. They’re incredible. They’re indispensable. Without them, we can’t deliver the essential services critical to the health of Australians.",,2074,"West Melbourne, Victoria, Australia",,,West Melbourne,,,,,,hospitals and health care,,,,,1001-5000,,,,,,,,,
Mental Health First Aid International,https://www.linkedin.com/company/mental-health-first-aid-international,https://www.linkedin.com/company/2516529,mhfa.com.au,"Mental Health First Aid International (trading as Mental Health First Aid Australia) is a national not-for-profit provider of mental health first aid education that equips individuals with the knowledge and skills to support others when it matters most.Most people are familiar with the idea of physical first aid courses that teach the skills and knowledge required to recognise and respond to life-threatening emergencies and provide a first aid response across a range of different situations.  Mental Health First Aid training adopts a similar approach.Using a practical, skills-based action plan, participants learn the skills to recognise and respond to someone experiencing a mental health problem or mental health crisis, until professional help is received or the crisis resolves.Individuals who complete Mental Health First Aid training are known as MHFAiders. Equipped with the skills to listen, connect, and offer support when it matters most, MHFAiders play a vital role in reducing stigma and promoting pathways to support for those experiencing mental health problems in our workplaces, communities, schools, and tertiary institutions.For further information, visit mhfa.com.au",,439,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,mental health care,,,,"community mental health education,mental health literacy research,Mental Health First Aid",201-500,,,,,,,,,marketing@mhfa.com.au
Alfred Health,https://www.linkedin.com/company/alfred-hospital,https://www.linkedin.com/company/41669,alfredhealth.org.au,"Alfred Health is a leading metropolitan health service in Melbourne, Australia. We pride ourselves on giving our patients and our community the best possible health outcomes by integrating clinical practice with research and education. Alfred Health provides a comprehensive range of specialist medical and surgical services including Australia’s busiest trauma centre. We also operate one of the largest and most advanced intensive care units (ICU) in the southern hemisphere. Alfred Health offers almost every form of medical treatment across our three locations at The Alfred, Caulfield Hospital and Sandringham Hospital. Recognised as a national leader in health care, Alfred Health has a commitment to biomedical research. We are also known for excellence in training for medical, nursing, allied health and other support staff. This is further enhanced through partnerships with Monash University, La Trobe University, and several internationally recognised medical research organisations such as the Burnet Institute.",,5326,"Melbourne, Victoria, Australia",,,Melbourne,,,"000 icon the alfred 55 commercial rd, melbourne, virgin island, usa",3000,+61390762000,hospitals and health care,hospital and health care,,,,5001-10000,https://www.facebook.com/TheAlfredHospital/,,,"YouTube, VueJS, SuccessFactors (SAP), Pardot, Outlook, Nginx, Mobile Friendly, Microsoft Office 365, MailChimp SPF, Google Tag Manager, Atlassian Cloud, Amazon SES",,,,,
Northern Health,https://www.linkedin.com/company/northern-health,https://www.linkedin.com/company/1168919,nh.org.au,"Northern Health is the key provider of public health care in Melbourne's northern region.Established in July 2000, Northern Health provides quality health care services to the expanding communities in Melbourne's northern suburbs. In one of Melbourne's busiest growth corridors, Northern Health offers the community health care services where they are needed - close to where people live.Northern Health is made up of four campuses: Northern Hospital Epping, Broadmeadows Hospital, Bundoora Centre and Craigieburn Centre. Our campuses work together to provide a unique mix of services including medical, surgical, emergency, intensive and coronary care, paediatrics, women's and maternal health, mental health, aged care, palliative care, and rehabilitation programs. These services are provided through inpatient, ambulatory and community-based programs.Northern Health's programs and services are split into two different streams - acute and sub-acute.  This structure is designed to assist services to be integrated across our campuses and ensure that patients have access to the best healthcare within the most efficient time frame.",1998,3547,"Epping, Victoria, Australia",,,Melbourne,,,"185 cooper st, epping, victoria, australia, 3076",3076,+610384058000,hospitals and health care,hospital and health care,,,,1001-5000,"https://twitter.com/northernhealth_, https://www.facebook.com/northernhealthau/",,,"YouTube, WordPress.org, SuccessFactors (SAP), React Redux, React, Mobile Friendly, Google Tag Manager, Google Font API, Google Analytics, Bootstrap Framework, Apache, Amazon Elastic Load Balancer, Amazon CloudFront, Amazon AWS",,,,,
Aspen Medical,https://www.linkedin.com/company/aspen-medical-pty-ltd,https://www.linkedin.com/company/2156399,aspenmedical.com,"Aspen Medical is a global healthcare solutions provider. Our customers come from government, non-government organisations, global agencies and the private sector.In 2024, Aspen Medical was recognised as a Winner of The Australian Business Award for Employer of Choice.We have the expertise and experience to deliver innovative healthcare solutions in complex environments, especially those that are remote, challenging or under-resourced. We are the only commercial organisation in the world certified by WHO as an Emergency Medical Team for trauma surgical operations and disease outbreak management.But there is more to us than being a globally successful business. At Aspen Medical, we believe passionately that having a social purpose ensures that the business can benefit shareholders and the community. We aim to create a better world by the very act of conducting business and to be a positive force in society.Our Vision:A solution to every healthcare challenge Mission:To provide health services wherever you need usValues:RespectIntegrityCompassionTeamworkThe Pursuit of ExcellenceOur Services:Our team provides a range of flexible and tailored services and products to our clients. These include: • primary healthcare • emergency healthcare • aero-medical services • virtual health services • mental health services • hospital and clinic management • modular clinical infrastructure • environmental and public health services • occupational health • medical supplies including PPE • advisory services • training • health technology solutions.",2003,1329,"Russell, Australian Capital Territory, Australia",,,Deakin,,,"2 king street, deakin, australian capital territory, australia",2600,+61262039500,hospitals and health care,hospital and health care,,,"Operation of healthcare facilities,Medical evacuations,Delivery of government healthcare programs,Reduction of healthcare waiting lists,Placement of healthcare professionals,Advisory Services,Health Technology,Health Infrastructure,Health Logistics,Health Clinic Construction ,Hospital Management",1001-2000,"https://twitter.com/aspen_medical, https://www.facebook.com/aspenmedical","medical evacuations, operation of healthcare facilities, delivery of government healthcare programs, reduction of healthcare waiting lists, placement of healthcare professionals",,,,,,,info@aspenmedical.com
St Vincent\'s Hospital Melbourne,https://www.linkedin.com/company/svhm,https://www.linkedin.com/company/734873,svhm.org.au,"St Vincent’s Hospital Melbourne is a leading teaching and research health service, located on Wurundjeri country in Melbourne.  We proudly provide care to the community, led by our values of Excellence, Compassion, Integrity, and Justice. We employ more than 6,000 people across 18 sites located across Melbourne, which includes a major teaching, research and tertiary hospital in Fitzroy, sub-acute care at St George’s Health Service, residential aged care at Berengarra, and palliative care at Caritas Christi. ",1893,2880,"Fitzroy, Victoria, Australia",,,Fitzroy,,,"41 victoria parade, fitzroy vic 3065, australia",3065,+61392312211,hospitals and health care,hospital and health care,,,"Medical, surgical, allied health and mental health services,Nurse education,Research and tertiary referral centre,Community-based assessment and treatment services,Palliative care services,Residential aged care services,Clinical training services",1001-5000,"https://twitter.com/StVincentsMelb, https://www.facebook.com/StVincentsHospitalMelb","medical, nurse education, surgical, residential aged care services, palliative care services, clinical training services, allied health & mental health services, research & tertiary referral centre, communitybased assessment & treatment services",2400000000,"Outlook, Mobile Friendly, Microsoft Office 365, Google Analytics, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Bootstrap Framework, ASP.NET",,,,,
