company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
HBF Health,https://www.linkedin.com/company/hbf,https://www.linkedin.com/company/24789,hbf.com.au,"HBF was founded more than 80 years ago in Perth and has provided private health insurance to generations of Western Australians.HBF has expanded to become Australia's second largest not-for-profit health fund, providing hospital and ancillary insurance to more than 1.2 million members nationwide.HBF is also becoming a more active participant in health services through its physiotherapy business Life Ready, its expanding HBF Dental business, and pharmacy partnerships with TerryWhite Chemmart outside of WA and Pharmacy 777 within WA.HBF is committed to actively connecting with and supporting the communities in which it operates as a trusted member-based organisation. ",1941,901,"Perth, Western Australia, Australia",,,Perth,,,"570 Wellington St, Perth, WA 6000, AU",6000,+61892658822,insurance,,,,"Private Health Insurance,Community Wellness,Corporate Health",501-1000,"https://twitter.com/hbfhealth, https://www.facebook.com/hbfhealth","insurance, life insurance, financial services, health & medical, auto insurance, corporate health, community wellness, home & rental insurance, health insurance offices, private health insurance",25045000,"SiteCore, Ruxit, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, LivePerson Monitor, Google Tag Manager, Google Play, Google Maps (Non Paid Users), Google Maps, Facebook Login (Connect), Eloqua, DoubleClick Floodlight, DoubleClick, CSC Corporate Domains, Bing Ads, Atlassian Cloud, AppNexus, Akamai RUM, Akamai, Adobe Media Optimizer, ASP.NET",,,,,
ANZIIF,https://www.linkedin.com/company/anziif,https://www.linkedin.com/company/97722,anziif.com,The Australian and New Zealand Institute of Insurance and Finance (ANZIIF) is the leading membership and education organisation for the insurance and finance industries in the Asia-Pacific region. RTO NO. 3596,,120,"East Melbourne, Victoria, Australia",,,Melbourne,,,,,,insurance,,,,"Education and Training,Professional Standards,Member Services,Community Engagement,Insurance,Risk Management,Thought Leadership",51-200,,,,,,,,,
Youi Insurance,https://www.linkedin.com/company/youi-insurance,https://www.linkedin.com/company/448365,youi.com.au,"From the moment we opened our doors, Youi has been committed to doing things differently. We're not your average insurance company - we're a challenger brand that's shaking up the industry by offering consumers a fresh, alternative choice. We believe that insurance should be tailored to the unique needs and lifestyles of our customers, and that's why we insure homes and cars of all shapes and sizes. Because at Youi, what makes us unique is you.We've put in the hard work to build a strong brand and a culture that prioritises innovation and agility. Our team of over 1,700 employees across three countries is dedicated to providing the best possible service to our customers. We're passionate about building a great company that prioritises its people and their development. It's this unwavering commitment to our people that's key to our success.",2008,1371,"Mons, Queensland, Australia",,,Sippy Downs,,,,,+10800009684,insurance,,,,"Car Insurance,Home and Contents Insurance,Motorcycle Insurance,Caravan & Trailer Insurance,Watercraft Insurance,Business Liability Insurance",1001-2000,"https://twitter.com/youi_insurance, https://facebook.com/YouiNewZealand/","car insurance, watercraft insurance, trailer insurance, motorcycle insurance, caravan, business liability insurance, home & contents insurance",4650000,"reCAPTCHA, YouTube, WordPress.org, Vimeo, Route 53, Quantcast, Nginx, New Relic, Mobile Friendly, Mimecast, Microsoft Office 365, LiveChat, Hotjar, Google Tag Manager, Google Font API, Google Analytics, Facebook Widget, Facebook Login (Connect), DoubleClick Floodlight, DoubleClick, Disqus, CloudFlare, Bootstrap Framework, Bing Ads, Atlassian Cloud, Active Campaign",,,,,
AIA Australia,https://www.linkedin.com/company/aia-australia,https://www.linkedin.com/company/3633488,aia.com.au,"AIA Australia is a leading life insurance specialist with 50 years’ experience and purpose to make a difference in people’s lives. In 2014 the company launched AIA Vitality, a world leading, science-based health and wellbeing program, to the Australian market. In July 2017, AIA and its partners launched AIA’s health insurance business, now known as AIA Health Insurance – one of Australia’s fastest growing private health insurers which provides Australians with cover which protects and rewards. The lives of more than 5.7 million Australians are protected and enhanced through AIA Australia’s unique value proposition of life, health and wellbeing. Our vision is to embrace shared value in championing Australia to be the healthiest and best protected nation in the world. In pursuit of this, AIA Australia has developed AIA Embrace- a comprehensive wellbeing ecosystem of world-class products, programs and partnerships. AIA Australia has been recognised with multiple awards, including the ANZIIF Life Insurance Company of the Year (2023), Women in Finance Employer of the Year Award (2019), Super Review’s Best Insurer of the Year (2019), FSC Life Insurance Industry Awards Innovation in Group Life Insurance (2021), Shared Value Awards Organisation of the Year (2020) and Shared Value Project of the Year (2021). AIA Health has been recognised with multiple awards including the WeMoney Insurance Awards Health Insurer of the Year (2022), WeMoney Insurance Awards Best for Quality (2022), Product Review Awards Health Insurer of the Year (2021,2022) Your participation with AIA Australia's Linkedin page is governed by the AIA Australia Social Media House Rules available at http://bit.ly/1g5X21R (as amended from time to time).Any personal information supplied by you in connection with your use of this social media platform may be collected, stored, handled, used and deleted in accordance with the AIA Australia Privacy Policy available at http://bit.ly/1hHywI5.",,1106,"Melbourne, Victoria, Australia",,,Melbourne,,,"509 st kilda road (head office), melbourne, victoria 3004, au",3004,+61409919891,insurance,,,,,1001-2000,"https://twitter.com/AIAVitalityAU, https://www.facebook.com/AIAVitalityAU","life insurance, health, wellbeing",150000000,"reCAPTCHA, Typeform, Scene7, SOASTA, YouTube, VueJS, Vimeo, Omniture (Adobe), Mobile Friendly, Marketo, Google Play, Google Apps, Google Analytics, Gmail, DotNetNuke, Bootstrap Framework, Apache, Amazon SES, Akamai DNS, Akamai, Adobe Marketing Cloud, Adobe CQ, ASP.NET",,,,,
Suncorp Group,https://www.linkedin.com/company/suncorp,https://www.linkedin.com/company/166197,suncorpgroup.com.au,"Suncorp Group offers insurance products and services through some of Australia and New Zealand’s most recognised brands. Our purpose is to build futures and protect what matters – the focus of our company for more than 100 years.  With the passion of our people, and our portfolio of brands including AAMI, GIO, Vero, Bingle, Apia and more, our ambition is to be the leading Trans-Tasman insurer. We put our customers at the heart of every decision, and we genuinely care about our customers and the communities in which they live. At Suncorp Group, we are big on culture, which is why ours is built on trust, empowerment, and flexibility, to help our people unlock their full potential and unleash their best and brightest selves. A career with us is more than just a job, it is an opportunity to positively impact the lives of thousands of people through the work you do each day.",,10859,"Brisbane City, Queensland, Australia",,,Brisbane,,,,,,insurance,financial services,,,General Insurance,10000+,,,,,,,,,
Allianz Australia,https://www.linkedin.com/company/allianz-australia-limited,https://www.linkedin.com/company/361096,allianz.com.au,"The Allianz Australia Group operates in Australia and New Zealand.  It includes one of Australia's largest general insurers, a leading private workers'​ compensation insurer, and a life insurer.Allianz Australia delivers a wide range of personal, commercial and corporate insurance products and services.  Allianz Australia has approximately 5500 staff and is a wholly-owned subsidiary of the worldwide Allianz Group, one of the world's largest financial services companies.To find out more about careers at Allianz, visit www.allianz.com.au/careers____We reserve the right to hide, moderate or remove comments and content we consider to breach our house rules. To learn more about our Social Media House Rules here: https://www.allianz.com.au/about-us/social-media-house-rules.html",,2794,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,insurance,,,,,1001-5000,,,,,,,,,
Steadfast Group Limited,https://www.linkedin.com/company/steadfast-group-limited,https://www.linkedin.com/company/3127701,steadfast.com.au,"Steadfast Group, established in 1996, is the largest general insurance broking network and the largest underwriting agency group in Australasia. The network provides services to broker businesses across Australia, New Zealand, Asia and London. In 1H24, Steadfast Network broking gross written premium (GWP) grew to AUD$12.4 billion. Meanwhile, Steadfast Underwriting Agencies generated AUD$2.1 billion of GWP. Steadfast also operates as a co-owner and consolidator through its equity interests in a number of broker businesses, underwriting agencies and other complementary businesses. Steadfast Group has an equity stake in unisonSteadfast, a global general insurance broker network with 264 brokers in 140 countries. Steadfast also expanded into the US market in October 2023 with the acquisition of independent insurance broker network ISU Group. ",1996,386,"Millers Point, New South Wales, Australia",,,Sydney,,,"97 l 3 bathurst st, sydney, new south wales, australia",2000,+10294956500,insurance,,,,"Insurance,Underwriting Agencies,Steadfast Brokers,Insurance Broker Network,Commercial Insurance,Personal Insurance,Business Insurance,Life Insurance,Premium Funding",201-500,"https://twitter.com/steadfast_group, https://facebook.com/SteadfastGroupOfficial/","insurance, life insurance, commercial insurance, personal insurance, business insurance, underwriting agencies, steadfast brokers, insurance broker network, premium funding",565618000,"reCAPTCHA, VueJS, Vimeo, Typekit, SharpSpring, Salesforce, Pardot, Outlook, New Relic, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Microsoft Azure, Google Tag Manager, Google Maps (Non Paid Users), Google Maps, ExactTarget, Atlassian Cloud, Angular JS v1, ASP.NET",,,,,
CGU Insurance,https://www.linkedin.com/company/cgu,https://www.linkedin.com/company/1405068,cgu.com.au,"For over 165 years, CGU has partnered with ambitious brokers to deliver exceptional insurance products and insured peace of mind to their customers. We offer national reach, outstanding service and the financial strength that comes from being part of Australia’s largest insurance parent, Insurance Australia Group (IAG). We have built our brand around our partners and our customers and we are committed to providing you with the best possible service.",1851,1199,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"181 william st, melbourne, victoria, australia, 3000",3000,+61396018222,insurance,,,,"Small/Medium Business,workers’ compensation insurance,commercial, rural, personal",1001-2000,,"personal, commercial, small, medium business, workers compensation insurance, rural",300000000,"reCAPTCHA, Salesforce, Rackspace MailGun, Predictive Response, Outlook, Omniture (Adobe), Nginx, Mobile Friendly, Microsoft Office 365, ExactTarget, Drupal, Bootstrap Framework, Akamai DNS, Akamai, Adobe Marketing Cloud",,,,,
HCF Australia,https://www.linkedin.com/company/hcf,https://www.linkedin.com/company/32022,hcf.com.au,"For over 90 years, our members have trusted us to protect their health and wellbeing, and in return we’ve provided quality cover and healthcare that’s right for them. Because as Australia’s largest not-for-profit health fund, we believe in delivering our members a level of care that’s uncommon. From humble beginnings in 1932, we’ve grown to become the nation’s largest not-for-profit health fund, helping to protect the health and wellbeing of over 1.8 million Australians with health, life, travel or pet insurance. And we remain constant to our not-for-profit charter, continuing to provide the highest standard of healthcare while returning more benefits to our members. We’re also proud of our many industry firsts. Over the years, we’ve been at the forefront of healthcare innovation, from introducing the first multicover plan to “cover the gap” in extras services, to opening one of the first health fund operated dental centre networks and launching Australia’s first on-demand injury cover*. Because we believe in making healthcare understandable, affordable and high quality for our members, they’re empowered to make informed decisions about their health.  Through the HCF Catalyst program, we continue to invest in the future of Australia’s health by supporting small businesses with big ideas, and fund researchers working to improve health outcomes for all Aussies through the HCF Research Foundation.  We’re also committed to investing in the health and wellbeing of our staff. At HCF, we value diversity, inclusion and equality in the workplace, and are dedicated to creating a working culture where staff can flourish. We believe that giving employees a safe, healthy and sustainable work environment is a priority.  * Issued by HCF Life. Consider the PDS and TMD at getflip.com.au.  ",1932,1476,"Millers Point, New South Wales, Australia",,,Sydney,,,"403 george street, sydney, new south wales, australia",2000,+61292900100,insurance,,,,"Health Insurance,Travel Insurance,Pet Insurance,Life Insurance,Car Insurance,Home and Contents Insurance",1001-2000,"https://twitter.com/hcfaustralia, https://facebook.com/hcfaustralia/","life insurance, health insurance, health & medical, pet insurance, travel insurance, dentists, optometrists",2309038000,"reCAPTCHA, ServiceNow, Salesforce, Rackspace Email, Outlook, Omniture (Adobe), Mobile Friendly, Microsoft Office 365, Microsoft Azure Hosting, Microsoft Azure, JQuery 2.1.1, JQuery 1.11.1, Google Tag Manager, Google Play, Google Maps (Non Paid Users), Google Maps, ExactTarget, CheetahMail, Apache, Amazon SES, Akamai DNS, Akamai, Adobe Marketing Cloud, AddThis",,,,,info@hcf.com.au
Hollard Insurance Australia,https://www.linkedin.com/company/hollard-insurance-australia,https://www.linkedin.com/company/1104662,hollard.com.au,"Established in 1999, The Hollard Insurance Company Pty Ltd (Hollard) and its related entities are part of the Hollard International Group of companies, operating in Australia and New Zealand. We underwrite a broad range of general insurance products, including motor, home, contents, business, bicycle, and pet, both directly and through partnerships. As a top 5 insurer in Australia, we are also an independent and privately owned company. Hollard works in proud partnership with a range of leading direct insurance brands as well as broker businesses to bring to market an innovative range of insurance products to serve a wide range of customer needs.  At Hollard, we pride ourselves on the calibre and capability of our people, on being a positive business with an unrelenting focus on diversity and inclusion, and on building collaborative partnerships. We use our expertise, integrity and humanity to go further, together. ",1999,784,"North Sydney, New South Wales, Australia",,,North Sydney,,,,,+61292536600,insurance,,,,"Car Insurance,Home & Contents Insurance,Life Insurance,Income Protection,Pet Insurance,Bicycle Insurance,Travel Insurance,Funeral Insurance,landlord insurance",501-1000,"https://twitter.com/hollard?lang=en, https://facebook.com/HollardInsurance/",,,,,,,,
