company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Jetstar Airways,https://www.linkedin.com/company/jetstar-airways,https://www.linkedin.com/company/25216,jetstar.com,"The Jetstar Group has one of the most extensive ranges of destinations in the Asia Pacific region. It is made up of Jetstar Airways (subsidiary of the Qantas Group) in Australia and New Zealand, Jetstar Asia in Singapore and Jetstar Japan in Japan.Jetstar branded carriers operate up to 5,000 flights a week to more than 85 destinations. The Jetstar Group carried more than 37 million passengers in financial year 2018.Our mission is to offer all day, every day low fares to enable more people to fly to more places, more often.MORE INFORMATION Jetstar Newsroom: http://newsroom.jetstar.com/Facts and stats: http://newsroom.jetstar.com/facts-and-stats/Executive biographies: http://newsroom.jetstar.com/executive-biographies/CAREER OPPORTUNITIESAustralia and New Zealand: https://careers.jetstar.comJapan: https://career-jp.jetstar.comSingapore: http://career-sg.jetstar.com",2004,3951,"Collingwood, Victoria, Australia",,,Collingwood,,,,,61383414901,airlines and aviation,airlines/aviation,,,"Travel,Customer Service,Holidays,Aviation",1001-5000,"https://twitter.com/jetstar_asia, https://facebook.com/JetstarAsiaAirways","aviation, travel, customer service, holidays",1300000000,"SOASTA, Ruxit, Ruby On Rails, React Redux, Optimizely, OneTrust, New Relic, Mobile Friendly, Melbourne IT, Inspectlet, Hubspot, Hotjar, Google Tag Manager, Google Play, Google Analytics, Google AdSense, Gigya, Facebook Login (Connect), DoubleClick, Datalicious SuperTag, BugHerd, Boxever, Atlassian Confluence, Atlassian Cloud, Akamai RUM, ASP.NET, WP Engine, Salesforce Live Agent, Salesforce, Microsoft Office 365, Jira, Akamai DNS, Akamai, Adobe Marketing Cloud",,,,,
Transport for NSW,https://www.linkedin.com/company/transport-for-nsw,https://www.linkedin.com/company/624981,nsw.gov.au,"We’re a New South Wales government organisation leading the group of transport agencies and divisions that keep NSW moving. With over 25,000 people working right across NSW, we drive the continual development of safe, integrated and efficient transport systems such as road, rail and maritime networks.  We’re committed to delivering better transport for the future of NSW, shaping our cities, centres and communities for generations to come. Right now, we’re delivering an ambitious and once-in-a-generation $72.2 billion program of public infrastructure works – the largest transport infrastructure program in Australia’s history. That means more job opportunities than ever before in metropolitan and regional areas right across the state – and your chance to make a lasting impact that will benefit generations to come.If you think Transport for NSW is home only to engineers, tradies and mechanics, think again. We've got roles you may not expect to see at Transport – from drone operators to graphic designers, Crash Lab technicians to boating safety officers, bridge engineers to demand planners, and all kinds of experts in between. In an organisation that’s as large, diverse and dynamic as Transport for NSW, there are thousands of opportunities. But it’s not just about what we do – it’s the way that we do it. We’re taking a new approach to the way we work. We’re embracing new technology and new ways of working. We’re building an open work culture where our people from a diverse range of backgrounds can thrive and continue to innovate. The road ahead is full of possibility and there’s plenty of work to do. We need great people to help us get it done.",,11677,"State Mine Gully, New South Wales, Australia",,,Multiple locations across the state,,,"dolls point, russell avenue, primrose house, kogarah, nsw, australia",2219,61292318111,truck transportation,transportation/trucking/railroad,,,,10000,https://twitter.com/TransportforNSW,"active life, parks, public services & government, playgrounds, libraries",2400000,"reCAPTCHA, iTunes, iPerceptions, iGoDigital, YouTube, Yahoo Analytics, Wufoo, WordPress.org, Woo Commerce, Wistia, Vision6, Vimeo, Varnish, Ubuntu, Typekit, Twitter Advertising, The Trade Desk, Taleo, SurveyGizmo, Squarespace ECommerce, SiteCore, Shutterstock, ShareThis, Segment.io, Salesforce, Ruxit, Ruby On Rails, Route 53, React JS Library, Qualtrics, Pure Chat, Piwik, PHP 5.3, Outlook, OpenSSL, Olark, Nginx, New Relic, Multilingual, Mobile Friendly, Mindbody, Microsoft-IIS, MailChimp, LiveChat, Linkedin Marketing Solutions, Kentico, JobAdder, JW Player, JQuery 2.1.1, JQuery 1.11.1, Intercom, Incapsula, Hubspot, Hotjar, Gravity Forms, Google translate widget, Google translate API, Google Tag Manager, Google Remarketing, Google Plus, Google Play, Google Places, Google Maps (Non Paid Users), Google Maps, Google Font API, Google Dynamic Remarketing, Google Custom Search, Google Analytics Ecommerce Tracking, Google Analytics, Google AdWords Conversion, Google AdSense, Formstack, Facebook Widget, Facebook Login (Connect), Facebook Like Button, Facebook Custom Audiences, F5 BIG-IP, Eventbrite, Drupal, DoubleClick Floodlight, DoubleClick Conversion, DoubleClick, DotNetNuke, Django, Disqus, CrazyEgg, Cornerstone On Demand, Cloudinary, Clicky, Civic Plus, Citrix NetScaler, Chartbeat, CampaignMonitor, BugHerd, Bootstrap Framework v3.2.0, Bootstrap Framework, Backbone JS Library, Apache, AngularJS, Amazon AWS, Adobe Coldfusion, Adobe CQ, AddThis, ASP.NET",,,,,
Qantas,https://www.linkedin.com/company/qantas,https://www.linkedin.com/company/4465,qantas.com,"We would like to acknowledge the Traditional Custodians of the local lands and waterways on which we live, work and fly. We pay our respects to Elders past and present. Spirit is everything to us, and joining the Qantas team means bringing your spirit to ours. We have over 26,000 exceptional employees, and every year we fly millions of customers around Australia and the world – together.  If you hop on board with the team, you'll experience a workplace where creativity, diversity and innovation are encouraged. We aim to give every member of the Qantas Group the support to follow their dreams, face new challenges, and let their future take flight. Ultimately, people are our priority – those who work for us and those who travel with us. Member of the oneworld Alliance.Please read the Qantas LinkedIn House Rules at http://bit.ly/QFhouserules",,16839,"Mascot, New South Wales, Australia",,,Mascot,,,,,,airlines and aviation,,,,"Aviation,Innovative product development,Safety,Customer Service,Operational reliability,Marketing,Information Technology,Digital,Loyalty,Freight,Engineering,Pilots,Insurance,Financial Services,Wine",10000,,,,,,,,,
Aurizon,https://www.linkedin.com/company/aurizon,https://www.linkedin.com/company/1073775,aurizon.com.au,"Aurizon is Australia’s largest rail-based freight operator and a top 50 ASX-listed company. Each year, we transport more than 250 million tonnes of Australian commodities, connecting miners, primary producers, and industry with international and domestic markets. We provide customers with integrated freight and logistics solutions across an extensive national rail and road network, traversing Australia. So no matter whether it’s turning on a light bulb or bringing home the groceries, the chances are we have played a part in delivering your everyday life. In addition to transportation, we own and operate one of the world’s largest coal rail networks with 2,700 kilometres of heavy haul rail infrastructure connecting mining customers in the Queensland coalfields with key ports. Our Operations business provides a range of specialist services to service the industry including rail design engineering, construction, management and maintenance and we offer large scale supply chain solutions to a diverse range of customers Australia-wide. While we’re incredibly proud of the work we do every day, we believe that our job isn’t just about transporting freight, it’s also about providing for our employees and transforming the communities where we live and work. That’s why we constantly strive to deliver a dynamic environment for our people and actively encourage equal opportunity employment in all areas of our business. It’s also why we support local charities and community groups at every level. Because we don’t just deliver freight, we deliver opportunity and value sustainability.Aurizon is a major contributor in the Australian economy, and we are well-placed to benefit from the continued long-term international demand for resources. As such we look forward to sharing our continued growth with our customers, employees, shareholders, our communities and the nation as a whole.For more information visit www.aurizon.com.au.",2010,3916,"Herston, Queensland, Australia",,,Fortitude Valley,,,,,61730199000,truck transportation,"transportation, logistics, supply chain and storage",,,"Rail Design,Rail Infrastructure,Supply Chain,Freight,Logistics,Engineering",1001-5000,"https://twitter.com/Aurizon_, https://www.facebook.com/Aurizonltd/",,,,,,,,
Pacific National,https://www.linkedin.com/company/pacific-national,https://www.linkedin.com/company/32669,pacificnational.com.au,"Pacific National (PN) is the largest provider of diversified rail freight services in Australia. We deliver what matters, hauling a variety of freight including coal, intermodal containers, steel, and a range of bulk commodities and materials that keep the region’s economy, businesses and households running. We operate nationally with more than 3,200 staff across 70+ sites across Australia.  We are seeking applicants who share our values: Make it simple, Share more, Kindness, Gratitude, Curiosity, and Own it. These values help us achieve strong connections with, and play an important part in motivating us all to do our best work.We value diversity, inclusion, collaboration and the contribution of each of our employees. Working for us will enable you to take ownership of your career and gain access to the following benefits:- Opportunities for growth and career development  - Access to mentoring programs - Flexible working arrangements (subject to business needs) - 12 weeks paid parental leave for primary carer at full pay following 12 months of service  - Opportunity to purchase additional annual leave - Provision of Salary Continuance Insurance  - Novated leasing and discounts on selected health insurance funds, travel, gyms, retail brands, vehicles and more.  - We are a WORK180 Endorsed EmployerTo find out more about Pacific National, our benefits and opportunities we offer, visit our careers page: www.pacificnational.com.au/careers            Pacific National’s top priority is getting you home to your family Safely Every Day.",2002,2079,"North Sydney, New South Wales, Australia",,,North Sydney,,,"level 16, 15 blue street, north sydney, nsw 2060, au",2060,61284848000,"transportation, logistics, supply chain and storage",transportation/trucking/railroad,,,"Rail,Haulage,Intermodal Transport,Bulk Rail Transport,Coal,Grain,Magnetite,Aggregates,Intrastate,Freight Forwarders,Freight services",1001-5000,https://twitter.com/PacificNatl,"rail, coal, intermodal transport, haulage, freight forwarders, aggregates, grain, freight services, intrastate, magnetite, bulk rail transport",1674180000,"reCAPTCHA, WordPress.org, ServiceNow, Outlook, New Relic, Mobile Friendly, Microsoft Office 365, Google Analytics, Bootstrap Framework, Apache, Amazon AWS",,,,,support@pacificnational.com.au
ARTC,https://www.linkedin.com/company/artc,https://www.linkedin.com/company/50892,artc.com.au,"At ARTC, we exist to keep Australia moving. Established in 1998, we’re a vital link in the nation’s transport supply chain – maintaining and operating rail lines across the country to help move freight and passenger trains. As one of the largest rail network managers in Australia, our 8,500km network spans five states, 39 worksites and the lands of more than 50 First Nations. We’re unashamed champions of rail as a safe, responsible and cost efficient way to transport people and products. In fact, our people manage the transit of more than 410 trains every day to connect our regions, cities and ports. Importantly, we foster an inclusive, values-led culture and have an uncompromising commitment to the health and safety of everyone who works at ARTC. We embrace diversity in all forms and are committed to building a respectful, fair and flexible workplace.",1998,1366,"Mile End, South Australia, Australia",,,Mile End,,,,,10882174366,rail transportation,transportation/trucking/railroad,,,,1001-2000,"https://twitter.com/Inland_Rail, https://www.facebook.com/inlandrailofficial",,,"reCAPTCHA, YouTube, WordPress.org, WP Engine, Vimeo, React, Nginx, Mobile Friendly, Mimecast, Gravity Forms, Google Tag Manager, Google Analytics, Facebook Widget, Facebook Login (Connect), Cornerstone On Demand",,,,,info@artc.com.au
Metro Trains Melbourne,https://www.linkedin.com/company/metro-trains-melbourne,https://www.linkedin.com/company/699967,metrotrains.com.au,"Since November 2009 Metro Trains Melbourne has been the operator of Melbourne’s growing suburban railway. Currently running more than 15,000 services a week across 16 lines, Metro is committed to creating one of the best engineered railways in the world.Melbourne is Australia’s fastest growing city – a city which is becoming increasingly reliant on public transport networks. Since 2009, Metro’s momentum to grow and change the network has remained steadfast, understanding it is no longer a traditional suburban railway. Adopting global best-practice across all facets of the business provides the foundation for the transformation to a high capacity and high frequency metro-style railway designed for the growing city of Melbourne.With more than 7000 team members across Victoria, we provide an environment that is rooted in honesty and integrity. Metro's team members are committed to serving our communities with the best possible services.",2009,3621,"Docklands, Victoria, Australia",,,Melbourne,,,,,6.12E+11,truck transportation,rail transportation,,,"Metropolitan Passenger Rail Transportation,Engineering,Rolling Stock,Construction,Training,Public Transport,Projects,Infrastructure",1001-5000,"http://www.twitter.com/metrotrains, https://www.facebook.com/metromelbourne/",,,,,,,,info@metrotrains.com.au
Brisbane Airport Corporation,https://www.linkedin.com/company/brisbane-airport-corporation,https://www.linkedin.com/company/111450,bne.com.au,"Brisbane Airport Corporation (BAC), the operator of Brisbane Airport (BNE), is a private, unlisted Queensland company that proudly takes on the challenge of connecting Australia to the world. Our passion and perseverance have cemented BNE as Queensland’s most important gateway, a leading hub for Australia, and an award-winning source of pride for our communities. Every day, our team of dedicated employees lives our values of Collaboration, Communication, Courage and Care, as we work together to provide a seamless airport experience for thousands of passengers. We take pride in our responsibility and the diverse and rewarding roles we offer to prospective employees—from finance to engineering, marketing, property development, sustainability, technology, facilities maintenance, and much more.A career with BAC is an opportunity to join a company that was named an Employer of Choice at both the 2023 Australian Business Awards and Australian HR Awards. It’s an opportunity to be part of an organisation that is creating Queensland's future, contributing almost $5 billion annually to the state's economy, as we strive to achieve our vision to Connect the World and Create the Future—making Brisbane Airport the best it can be.",1997,533,"Brisbane Airport, Queensland, Australia","Pinkenba, Queensland, Australia",,Brisbane Airport,,,"11 The Circuit, Brisbane Airport, Queensland 4008, AU",4008,61734063000,airlines and aviation,aviation and aerospace component manufacturing,aviation and aerospace,,"Aeronautical,Infrastructure,Property,Retail,Parking & transport,Airport",501-1000,"https://twitter.com/BrisbaneAirport, https://www.facebook.com/BrisbaneAirport/","infrastructure, retail, property, transport, restaurants, burgers, hotels & travel, parking, airport, airports, australian, aeronautical",592510000,"reCAPTCHA, OneTrust, Atlassian Cloud, YouTube, VueJS, Shopify Product Reviews, Shopify, Outlook, New Relic, Mobile Friendly, Microsoft Office 365, Google Tag Manager, Drupal, CloudFlare Hosting, CloudFlare CDN, Amazon SES, Amazon AWS",,,,,info@bne.com.au
Brambles,https://www.linkedin.com/company/brambles,https://www.linkedin.com/company/5086,brambles.com,"Under the CHEP brand Brambles helps move more goods to more people, in more places than any other organisation on earth. Its pallets, crates and containers form the invisible backbone of the global supply chain and the world’s biggest brands trust Brambles to help them transport their goods more efficiently, sustainably and safely. As pioneers of the sharing economy, Brambles created one of the world's most sustainable logistics businesses through the share and reuse of its platforms under a model known as ‘pooling’. Brambles primarily serves the fast-moving consumer goods (e.g. dry food, grocery, and health and personal care), fresh produce, beverage, retail and general manufacturing industries. The Group employs more than 12,000 people and owns approximately 360 million pallets, crates and containers through a network of more than 750 service centres. Brambles operates in approximately 60 countries with its largest operations in North America and Western Europe. For further information, please visit brambles.com",,1605,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,"transportation, logistics, supply chain and storage",,,,"Global leader in pallet, crate & container pooling services,Supply chain partner,Sustainable supply chain solutions,Circular economy,Share and reuse,Digital supply chain",1001-2000,,,,,,,,,info@brambles.com
CHEP,https://www.linkedin.com/company/chep,https://www.linkedin.com/company/5085,chep.com,"CHEP helps move more goods to more people, in more places than any other organisation on earth. Its pallets, crates and containers form the invisible backbone of the global supply chain and the world’s biggest brands trust CHEP to help them transport their goods more efficiently, sustainably and safely.As pioneers of the sharing economy, CHEP created one of the world's most sustainable logistics businesses through the share and reuse of its platforms under a model known as ‘pooling’. CHEP primarily serves the fast-moving consumer goods (e.g. dry food, grocery, and health and personal care), fresh produce, beverage, retail and general manufacturing industries.CHEP employs approximately 13,000 people and believes in the power of collective intelligence through diversity, inclusion and teamwork. CHEP owns approximately 347 million pallets, crates and containers through a network of more than 750 service centres, supporting more than 500,000 customer touch-points for global brands such as Procter & Gamble, Sysco and Nestlé.CHEP is part of the Brambles Group and operates in approximately 60 countries with its largest operations in North America and Europe.For more information, visit www.chep.com.",,8868,"Addlestone, England, United Kingdom",,,Addlestone,,,,,,"transportation, logistics, supply chain and storage",,,,"Global leader in pallet and container pooling services,Supply Chain Partner,Pallets,Containers,Automotive,Consumer Industry,Retail Logistics,Sustainable Logistics Solutions,Circular Business Model",5001-10000,,,,,,,,,info@chep.com
