company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Pacific Blue Australia,https://www.linkedin.com/company/pacific-blue-australia,https://www.linkedin.com/company/47324,pacificblue.com.au,"Pacific Blue is a leading Australian energy company. As a generator, we own, operate, and develop wind and solar farms and hydro plants that produce only 100% clean energy right here in Australia — and have for more than 30 years. Through our retail energy plans, we’ve helped Australians save money to power their homes and businesses for more than a decade.Our renewable energy projects deliver positive social, environmental, and economic outcomes, and we are proud to have established a Community Benefits Sharing Program that has provided over $5 million in support to Australian communities.We share the economic benefits of our renewable energy generation projects with local and indigenous communities, ensuring everyone benefits, now. Join us in empowering a clean energy future, today. Work with us: https://www.pacificblue.com.au/about-us/contact-us/work-with-usWho we are: https://www.pacificblue.com.au/about-us/who-we-areCommunity funding and engagement: https://www.pacificblue.com.au/our-energy-production/community-funding-and-engagement",,220,"Docklands, Victoria, Australia",,,Docklands,,,,,,renewable energy semiconductor manufacturing,renewables and environment,,,"renewable energy,wind farms,clean energy,solar farms,run-off-river hydros",201-500,,,,,,,,,
Cactus Wellhead,https://www.linkedin.com/company/cactus-wellhead-llc,https://www.linkedin.com/company/2594402,cactuswellhead.com,"Cactus designs, manufactures, sells and rents a range of highly-engineered wellheads and pressure control equipment. Our products are sold and rented principally for onshore unconventional oil and gas wells and are utilized during the drilling, completion (including fracturing) and production phases of our customers'​ wells.Our principal products include our Cactus SafeDrill™ wellhead systems, frac stacks, zipper manifolds and production trees that we design and manufacture. Every oil and gas well requires a wellhead, which is installed at the onset of the drilling process and which remains with the well through its entire productive life. The Cactus SafeDrill™ wellhead systems employ technology traditionally associated with deepwater applications, which allows technicians to land and secure casing strings safely from the rig floor without the need to descend into the well cellar. We believe we are a market leader in the onshore application of such technology, with thousands of our products sold and installed across the United States since 2011.Mission Statement:Guided by a relentless focus on customer service and the conviction that their resulting loyalty will maximize owner value, we will strive for operational excellence in all dealings with our clients, associates and suppliers. We will consistently outperform our peers by refusing to compromise on safety, honesty and professionalism.",,735,"Houston, Texas, United States",,,Houston,,,,,,oil and gas,,,,"Frac rentals,Pressure Control Equipment,Conventional wellheads,Flow Control Products,Surface wellheads,Christmas Trees,Frac repair,Pressure control system implementation,Multibowl Wellheads,Frac Services",501-1000,,,,,,,,,
Altrad Services APAC,https://www.linkedin.com/company/altrad-apac,https://www.linkedin.com/company/26558972,altradservices-apac.com,"Altrad is one of the nation’s largest industrial service providers, with more than 35 years of continued growth in Australia. We provide our clients with integrated solutions and the critical human infrastructure required to build, protect and extend the life of their assets. Our expertise spans diverse sectors, including energy, minerals & resources, infrastructure & utilities, and defence.We are part of the Altrad Group with almost 60,000 people distributed throughout more than 50 countries worldwide, with 120 subsidiaries operating in Europe, North & South America, Canada, the Middle East, Africa and Asia Pacific.We believe that having the right culture is fundamental to the long-term success of the Group. Our values are: Courage, Conviviality, Solidarity, Humility, and Respect.Shift your focus, and you’ll see more. ALTRAD.",1985,600,"Daglish, Western Australia, Australia",,,Subiaco,,,,,+33467505366,oil and gas,,,,"Mining Services,Power Generation,Access,Surface Treatment,Passive Fire Protection,Asbestos Management",501-1000,https://www.facebook.com/AltradAPAC,,,,,,,,
Santos Ltd,https://www.linkedin.com/company/santos-ltd,https://www.linkedin.com/company/10716,santos.com,"Santos provides reliable, affordable energy for progress and seeks to provide lower carbon energy over time.Santos is a global energy company with operations across Australia, Papua New Guinea, Timor-Leste and the United States.At Santos, our goal is to be a global leader in the energy evolution to low-carbon fuels that help the world decarbonise and continue to provide the reliable, affordable energy the world needs for modern life and human progress.Santos is an important Australian domestic gas supplier and LNG supplier in Asia. We are committed to supplying critical fuels such as oil and gas, and abating emissions through carbon capture and storage, energy efficiency projects, use of renewables in our operations and high-quality offsets. Santos will also seek to develop low-carbon fuels as customer demand evolves.For 70 years, Santos has been working in partnership with local communities, providing jobs and business opportunities, safely developing natural gas resources and from there powering industries and households.Santos seeks to deliver long-term value to shareholders through our diverse portfolio of high-quality, long-life, low-cost oil and gas assets, carbon storage resources and infrastructure.The Santos portfolio is value accretive and resilient across a range of decarbonisation scenarios. Santos has a climate transition action plan that will continue to evolve for the global energy evolution.Santos has a regional operating model with a strong local focus. The Company’s operating structure comprises three regional business units focused on enabling and executing corporate strategy. Two divisions – Santos Energy Solutions and Santos Upstream Gas and Liquids – are accountable for global portfolio management and strategy.",,6445,"Adelaide, South Australia, Australia",,,Adelaide,,,,,,oil and gas,,,,"LNG,development,production,marketing,CCS,lower carbon energy,low carbon fuels",5001-10000,,,,,,,,,
Queensland Hydro,https://www.linkedin.com/company/queenslandhydro,https://www.linkedin.com/company/82862619,qldhydro.com.au,"Queensland Hydro has been tasked to deliver, operate and maintain the long-duration energy storage assets we need to confidently transition Queensland to a renewable energy future.",2022,202,"Brisbane, Queensland, Australia","Brisbane City, Queensland, Australia",,Brisbane ,,,,,,renewable energy power generation,utilities,,,,201-500,https://www.facebook.com/queenslandhydro/,,,,,,,,
Vertech Group Pty Ltd,https://www.linkedin.com/company/vertech-au,https://www.linkedin.com/company/2537204,vertech.com.au,"Vertech is an inspection and specialist implementation provider using alternative access to underpin our services. We provide high quality, safe and innovative approaches, technologies and methodologies to drive excellence for our clients. Built on a foundation of global energy industry experience, we apply world’s best practice and a client-centred approach to drive continuous improvement and add value to anything we undertake. A strong focus on our people, our clients and the project goals are applied to all operations to optimise performance and ensure we provide a best in class service with teams of people who are passionate about what they do.",2008,250,"Herdsman, Western Australia, Australia",,,Perth,,,,,+61 8 6168 7600,oil and gas,,,,"Integrity Management,NDT,IRATA Rope Access,Offshore,Inspection,LNG,FPSO,Subsea,Coating Remediation,Specialised NDT,Scaffolding,Rigging,Mechanical,Marine Surveys,CUI,Decommissioning,Commissioning,Maintenance,Working at Heights,Access Solutions,Integrity Engineering,Mini ROV,Specialist Access Systems,In-Service Inspection,Confined Space Management,Confined Space Entry,Marine Loading Arms,Jetty Refurbishment",201-500,"https://twitter.com/groupvertech, https://www.facebook.com/VertechGroup",,25000000,,,,,,
Boskalis Offshore Energy,https://www.linkedin.com/company/boskalis-offshore-energy,https://www.linkedin.com/company/19132699,boskalis.com,,,1006,"Perth, Western Australia, Australia",,,Perth,,,"rosmolenweg 20, papendrecht, zuid-holland, the netherlands, 3356 lk",3356 LK,,oil and gas,oil and energy,,,,1001-2000,,,,,,,,,info@boskalis.com
CB&I Kentz Joint Venture (CKJV),https://www.linkedin.com/company/cb&i-kentz-join-venture,https://www.linkedin.com/company/3086334,bepartofsomethingbig.com.au,"The purpose of this page is to keep you up to date with our job opportunities and to also give you an insight into the culture here at CKJV. If you are interested in joining our team and wish to apply, please visit: www.bepartofsomethingbig.com.au    About Us: The Chevron-operated Gorgon Project is Australia’s largest single resource development and the CB&I Kentz Joint Venture (CKJV) has been awarded a contract by Chevron Australia to carry out the Mechanical, Electrical, Instrumentation and Commissioning work.",2011,612,,,,Perth,,,"level 3, 251 st georges terrace, perth, western australia, australia, 6005",6000,+611800249400,oil and gas,oil and energy,,,"Construction,Oil & Gas,Careers,Electrical,Mechanical,Instrumentation,Commissioning",501-1000,,"construction, instrumentation, mechanical, electrical, oil, gas, commissioning, careers",,"Mobile Friendly, LiveChat, Google Font API, Google Analytics, CampaignMonitor, Campaign Monitor, Bootstrap Framework, Apache",,,,,
Neptune Marine Services,https://www.linkedin.com/company/neptune-marine-services,https://www.linkedin.com/company/379019,neptunems.com,Neptune Marine Services is now under the MMA Offshore brand. Please visit MMA Offshore's LinkedIn page for all future updates: https://www.linkedin.com/company/mma-offshore-limited,,174,"Welshpool, Western Australia, Australia",,,Welshpool,,,"12 the esplanade, perth, western australia, australia",6000,+31 18 462 1423,oil and gas,oil and energy,,,,51-200,,,81800000,"Typekit, Route 53, Outlook, Mobile Friendly, Microsoft Office 365, MailChimp SPF, Linkedin Widget, Linkedin Login, JQuery 1.11.1, Google Tag Manager, Google Analytics, Amazon AWS",,,,,
Tilt Renewables,https://www.linkedin.com/company/tilt-renewables,https://www.linkedin.com/company/12906903,tiltrenewables.com,"Tilt Renewables is a leading developer, owner, and operator of renewable energy projects in Australia. Proudly Australian-owned and operated, we are passionate about the role we play in driving the transition to sustainable energy with our wind, solar, and battery farms. Our end-to-end project management ensures excellence from planning to operation.We foster strong, long-term relationships with landholders, communities, and businesses. Our community-centric approach builds trust and secures our social license to operate. Committed to creating a positive environmental and community outcomes, we embody innovation, reliability, and passion for sustainability.We Are People Powered | We Get It Done | We LeadWe Are Tilt.  We Are Australia’s Renewable Future.  For more information, visit www.tiltrenewables.com.au.",,146,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,renewable energy power generation,renewable energy semiconductor manufacturing,,,"Renewable Energy,Wind Farm development and operations,Grid Scale Solar PV,Renewable Resources,Storage Technologies",51-200,,,,,,,,,
