company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,alexa_ranking,crunchbase_url,market_cap,company_email
Retail Zoo,https://www.linkedin.com/company/retail-zoo,https://www.linkedin.com/company/1690517,retailzoo.com.au,"Retail Zoo is the holding company behind powerhouse brands Boost Juice, Betty's Burgers and Salsas Fresh Mex. Between Retail Zoo’s four brands there are over 930 stores around the globe – employing over 8000 people in more than 14 countries.Boost JuiceWe believe every person that visits Boost Juice will leave feeling just that little bit better.That first Boost Juice in Adelaide has grown into over 840 Boost Juice stores around the world – including Asia, South America, UK & Europe!The story of how Boost became the most beloved Australian juice company begins with Janine Allis, a mother of four who has always been an advocate for healthy eating and living. Janine had a desire to own her own business and she noticed there was a lack of truly healthy fast food in the marketplace. Janine did extensive research worldwide and started to develop a business concept that was vastly different…Boost Juice! Her vision was to do retailing differently, delivering a unique customer experience based on the “Love Life” philosophy that Boost now how come to be known for.Betty's BurgersThe Betty’s Burgers concept is a classic burger shack, serving the freshest, juiciest and mouth-watering burgers around.  Originating in Noosa, Queensland, Betty's Burgers has expanded across Queensland, NSW, ACT, SA, WA and Victoria bringing that relaxed Noosa beach-vibe to a growing and loyal fan base. With a delicious and simple menu of classic burgers, fries, onion rings, shakes and ice cream, and beach shack ambiance, Betty’s Burgers offers guests a relaxed dining experience for any occasion. SalsasSalsas Fresh Mex brings crave-able and fresh Mexican fare in the form of burritos, tacos, quesadillas and nachos to a dedicated fan following across 19 stores.",2000,306,"Clayton, Victoria, Australia",,,Clayton,,,"level 1, chadstone place, 1341 dandenong road, chadstone, melbourne, victoria 3148, au",3145,+61395084400,retail,,,,,201-500,"https://twitter.com/retail_zoo, https://facebook.com/Retailzoo/","food, restaurants, coffee & tea, juice bars & smoothies, mexican",,,,,,,,,,
Retail Food Group,https://www.linkedin.com/company/retail-food-group,https://www.linkedin.com/company/792640,rfg.com.au,RFG is a global food and beverage company headquartered in Queensland. It is Australia’s largest multi-brand retail food franchise owner and a roaster and supplier of high-quality coffee products. The Company also operates in the dairy processing sector. For more information about RFG visit: www.rfg.com.au,1989,482,"Clear Island Waters, Queensland, Australia",,,Robina,,,"35 robina town centre dr, level 4, robina, queensland 4226, au",4226,+61756552525,retail,,,,"Franchising,Coffee Roasting,Retail Food,Pizza,Coffee",201-500,https://facebook.com/RetailFoodGroup,"coffee, franchising, pizza, coffee roasting, retail food",398527000,"Zendesk, YouTube, WordPress.org, Salesforce, Route 53, Outlook, Mobile Friendly, Mimecast, Marketo, Mailchimp Mandrill, Google Tag Manager, Google Maps, Google Font API, Bootstrap Framework",,,,,,,,
Bapcor Retail,https://www.linkedin.com/company/bapcor-retail,https://www.linkedin.com/company/31429686,bapcor.com.au,"Bapcor Retail is a leading provider of vehicle parts, accessories, equipment, service and solutions.Our brands include Autobarn as well as our independent parts and accessories brands Autopro and Sprint.We also operates auto service centres under the Midas and ABS brands. ",1976,110,"Mount Waverley, Victoria, Australia",,,Mount Waverley,,,,,,motor vehicle manufacturing,,,,,51-200,,,,,,,,,,,,
Woolworths Group,https://www.linkedin.com/company/woolworths-group,https://www.linkedin.com/company/295257,woolworthsgroup.com.au,"Woolworths Group is one of Australia and New Zealand’s leading retail groups, supporting well-known brands such as Woolworths, Big W and Countdown. Our great team is focused on creating better experiences together, for our customers, our communities, and for each other.People are at the heart of everything we do, which is why a job with us is never just a job, it’s a chance to be part of something special, and an opportunity to grow and make a real difference, to the team you join as well as your own career path.Indeed, it’s our people who have made us one of Australia’s strongest retail groups, by working as one to power innovation and efficiency across our brands. If you’d like to become a member of one of Australia’s most experienced teams, to help us continue to grow, innovate and support our communities, we’d love to hear from you.",,22919,"Baulkham Hills, New South Wales, Australia",,,Bella Vista,,,,,,retail,,,,"Retail,General Merchandise,Multi-Option Retailing,Food & Drinks",10000+,,,,,,,,,,,,
Fusion Retail Brands,https://www.linkedin.com/company/fusion-retail-brands-pty-ltd,https://www.linkedin.com/company/2722471,munrofootweargroup.com.au,"In 2017, Fusion Retail Brands was acquired by Munro Footwear Group. For more information visit the Munro Footwear Group LinkedIn page.With a portfolio comprised of Australia’s most iconic and beloved brands - Diana Ferrari, Williams, Mathers and Colorado - Fusion Retail Brands was the custodian of Australia’s favourite footwear and apparel. Drawing on over 150 years of history and experience, our brands are fixtures of the Australian retail landscape, renowned for their quality products and ongoing commitment to customer satisfaction.Dedicated to growth, excellence and evolution, our success is predicated on connecting with consumers in authentic and unexpected ways, while remaining true to the rich heritage of each of our brands. ",,76,"Abbotsford, Victoria, Australia",,,Abbotsford,,,,,,retail,,,,,51-200,,,,,,,,,,,,
Romeo\'s Retail Group,https://www.linkedin.com/company/romeo%27s-retail-group,https://www.linkedin.com/company/10680643,romeosretailgroup.com.au,"The Romeo Family first started in the supermarket industry in March 1987. Beginning with one small convenience store, they have progressively built a business that now stands as an outstanding independent retailing success story. The group now owns 26 stores in SA, and 6 in NSW.",1987,251,"Adelaide, South Australia, Australia",,,Adelaide,,,,,,retail groceries,supermarkets,,,,201-500,,,,,,,,,,,,
Global Retail Brands Australia,https://www.linkedin.com/company/globalretailbrands,https://www.linkedin.com/company/18020370,globalretailbrands.net,"Global Retail Brands is proud to be the home of some of Australia’s most loved and iconic homewares and kitchenware brands: House, Robins Kitchen, MyHouse and House Bed & Bath. As the largest privately-owned and fastest-growing homewares and kitchenware retailer in Australia, we’re passionate about helping Australians create homes they love.With a network of over 270 stores across all States and Territories, we bring style, functionality and innovation to households nationwide. Our brands collectively offer a wide range of products, catering to every need and preference!House: A trusted name in kitchenware, tableware, and cookware, House has become synonymous with quality and innovation. Our range is designed for food enthusiasts and home chefs, delivering everything from the latest gadgets to timeless essentials.Robins Kitchen: Known for its exceptional value and variety, Robins Kitchen is the go-to destination for everyday kitchen solutions. Whether you’re upgrading your cookware or searching for the perfect gift, Robins Kitchen is all about making life in the kitchen more enjoyable.MyHouse: For over six decades, MyHouse has been Australia’s leading brand for luxurious bed linen, soft furnishings, and home décor. Combining timeless designs with contemporary trends, MyHouse helps you create spaces that reflect your personal style.House Bed & Bath: As the ultimate destination for comfort and elegance, House Bed & Bath specializes in bedding, towels, and accessories designed to turn your house into a haven.At Global Retail Brands, we pride ourselves on being more than just a retailer. We’re a team of passionate individuals dedicated to providing exceptional service, expert advice, and high-quality products. From kitchens to bedrooms, we’re committed to helping our customers elevate their homes with practical solutions and beautiful designs.Let us inspire you—one room at a time!",,278,"Melbourne, Victoria, Australia",,,Melbourne,,,,,,retail,,,,"homewares,kitchenware,ecommerce,kitchen,dining,manchester,Towels,Sheets,Cushions,kitchen electrical,knives,Cookware,Dinnerware,Glasses",201-500,,,,,,,,,,,,
Credo - Retail Project Solutions,https://www.linkedin.com/company/credo-group,https://www.linkedin.com/company/911648,credo.com.au,"Credo is committed to creating high-performance retail environments. Whether it’s a single store signage changeover, new store fit out or an 800 store refresh program, no project is too diverse.Established in 2003, Credo has worked with some of Australias largest retailers, including, Coles Supermarkets, TKMaxx, Liquorland, UNIQLO, Bunnings Warehouse, and Multiple Retailer Roll Outs. Transforming Australian retailers by providing strong value proposition through retail installation, merchandising and support services.Innovation is the core value for Credo. Reacting quickly to the needs of retailers and their customers is at the forefront of every project. The combination of an experienced team of direct employees with national coverage ensures that Site audits, Merchandising, Installations, and Concierge is always at the highest standard. Firmly positioned as industry leaders, reacting quickly to the needs of the retail industry to deliver market leading and ‘first to market’ solutions.Credo, turning spaces into high-performance retail environments - on time and on budget. ",,82,"Mount Waverley, Victoria, Australia",,,Mount Waverley,,,,,,retail,,,,"project management,installation,retail,soft construction,property,merchandising",51-200,,,,,,,,,,,,
Commonwealth Bank,https://www.linkedin.com/company/commonwealthbank,https://www.linkedin.com/company/2848,commbank.com.au,"Australia’s leading provider of financial services including retail, premium, business and institutional banking, funds management, superannuation, insurance, investment and sharebroking products and services. We are a business with more than 800,000 shareholders and over 52,000 employees. We offer a full range of financial services to help all Australians build and manage their finances.Connect with us, we'd like to hear from you:facebook.com/commonwealthbanktwitter.com/commbankyoutube.com/commbankyoutube.com/commbankbusinessinstagram.com/commbankOur Community Guidelines can be found at:https://www.commbank.com.au/support/social-networks.htmlFor information on our Privacy Policy visit https://www.commbank.com.au/support/privacy",,43769,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,financial services,,,,,10000+,,,,,,,,,,,,
Retail Apparel Group,https://www.linkedin.com/company/retail-apparel-group,https://www.linkedin.com/company/3617796,retailapparelgroup.com,"Retail Apparel Group (RAG) comprising of Tarocash, Connor, yd. Johnny Bigg and Rockwear. Tarocash, Connor yd. and Johnny Bigg have become synonymous with smart casual menswear. Each appealing to specific age and attitudinal market segments. All four brands are renowned for their consistently inspired product ranges, mid-market appeal, strong in-store service and positive team spirit.In 2015 Retail Apparel Group ventured into womens activewear, with a majority stake purchase in the Rockwear brand. The RAG brands have continued to grow well above industry norms every year since they began, with further expansion planned. They are consistently rated best in category by Shopping Centre Managers and continue to invest in constant improvement programs.Retail Apparel Group believes outstanding customer service, integrity & openness in our business dealings, accessibility and an undying team spirit underpin not just everything we do, but how we do it. These beliefs are reflected in our Core Values and Cultural Statements.www.retailapparelgroup.com/",1987,176,"Sydney, New South Wales, Australia",,,Sydney,,,"level 1, 409 george st, waterloo, new south wales, australia",2000,+61296990888,retail,,,,"Retail,Fashion,Menswear,Womenswear,Activewear",51-200,,"retail, fashion, menswear, activewear, womenswear",,,,,,,,,,
