company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
SEEK,https://www.linkedin.com/company/seek,https://www.linkedin.com/company/8985,seek.com.au,"SEEK is a global leader in employment marketplaces, solving real problems for our customers and connecting the right people with the right work. Our platforms are used by approximately 60 million candidates worldwide, we have relationships with over 450,000 hirers and exposure to around 900 million people, which means we really know the markets we are operating in.With an international presence that spans Australia, New Zealand and South-East Asia, your career can take you in many directions at SEEK.",,2952,"Cremorne, Victoria, Australia",,,Cremorne,,,,,,"technology, information and internet",,,,"Online Employment Classifieds,Job Boards,Education,Employment,Job Ads,Proactive Sourcing,Recruitment",1001-5000,,,,,,,,,
The Australian,https://www.linkedin.com/company/the-australian,https://www.linkedin.com/company/1008560,theaustralian.com.au,"Visit www.theaustralian.com.au for Australia's premier coverage of national and international news with specialised in-depth sections for business, politics, media, higher education, arts, lifestyle and IT. Follow @australian on Twitter, like us on Facebook or visit our Google+ page at google.com/+theaustralian. Download our apps or subscribe for access to exclusive content and analysis here: http://www.theaustralian.com.au/gettingstarted",1964,580,"Surry Hills, New South Wales, Australia",,,Sydney,,,"2 holt street, surry hills, new south wales, au, 2010",2010,+610292883000,newspaper publishing,publishing,,,,501-1000,"https://twitter.com/australian, https://facebook.com/theaustralian",,24940000,"Wordpress VIP, WP Engine, VueJS, Stripe, Salesforce Live Agent, Salesforce, Mimecast, Genesys, Chartbeat, Amazon SES, Akamai DNS, Akamai, Adobe Marketing Cloud",,,,,help@theaustralian.com.au
Atlassian,https://www.linkedin.com/company/atlassian,https://www.linkedin.com/company/22688,atlassian.com,"Atlassian is a global software company helping teams around the world unleash their potential. We build tools that help teams collaborate, build, and create together.With our 300,000+ customers and team of 10,000+ Atlassians, we are building the next generation of team collaboration and productivity software. We believe the power of teams have the potential to change the world—one that is more open, authentic, and inclusive.",2002,16914,"Millers Point, New South Wales, Australia",,,Sydney,,,"341 george street, sydney, new south wales, australia",2000,+61292621443,information technology and services,software development,,,"b2b enterprise software,bug tracker,issue tracker,enterprise wiki,corporate wiki,business wiki,team collaboration,project management,downtime communication,work management,teamwork,personal productivity",10000+,"http://twitter.com/atlassian, http://www.facebook.com/Atlassian, http://angel.co/atlassian","enterprise software, information technology, software, internet, project management, collaboration, team collaboration, web tools, b2b enterprise software, bug tracker, issue tracker, enterprise wiki, corporate wiki, business wiki, downtime communication",,,,,,,info@atlassian.com
REA Group,https://www.linkedin.com/company/rea-group,https://www.linkedin.com/company/1508717,rea-group.com,"REA Group (ASX: REA) is a leading digital business with more than 2,800 people working towards changing the way the world experiences property.We help people with all aspects of their property experience – not just buying, selling, and renting. We deliver unparalleled value to our customers with a suite of un-matched integrated products and services while providing access to the largest and most engaged audience of Australian property seekers. Our unique consumer experiences cover every stage of the property journey offering the richest content, data and insights, property valuation estimates and home financing solutions.REA is focused on supporting a sustainable future is a Climate Active certified carbon neutral organisation. Our people are the key to our success and come to work every day living our values. They are purpose driven and collaborate, which drives our innovative culture.",,2417,"Cremorne, Victoria, Australia",,,Richmond,,,,,,software development,"technology, information and internet",online audio and video media,,"online,media,property,digital,mobile",1001-5000,,,,,,,,,
Seven Network,https://www.linkedin.com/company/seven-network-limited,https://www.linkedin.com/company/532382,inside7.com.au,"The Seven Network is part of Seven West Media (ASX: SWM), one of Australia’s most prominent media companies, with a market-leading presence in content production across broadcast television, publishing and digital. The Seven Network alone reaches about 17 million people a month.The company owns some of Australia’s most renowned media businesses, including the Seven Network and its affiliate channels 7two, 7mate, 7flix and 7Bravo, the digital platform 7plus, 7NEWS.com.au, The West Australian, The Sunday Times, and The Nightly. The Seven Network is home to Australia’s most loved news, sport and entertainment programming, including 7NEWS, 7NEWS Spotlight, Sunrise, The Morning Show, The Voice, Home and Away, Australian Idol, My Kitchen Rules, SAS Australia, Farmer Wants A Wife, The Chase Australia, Better Homes and Gardens, RFDS, The 1% Club and the TV WEEK Logie Awards. Seven Network is also the broadcast partner of the AFL, Cricket Australia and Supercars.",,1993,"Millers Point, New South Wales, Australia",,,Sydney,,,"218 victoria st, alexandria, new south wales, australia",2164,,broadcast media production and distribution,media production,,,"Broadcast Television,Program Production",1001-2000,,broadcast television & program production,1200000000,"reCAPTCHA, WordPress.org, Route 53, Mobile Friendly, Gravity Forms, Google Tag Manager, Google Font API, Apache, Amazon AWS",,,,,
Canva,https://www.linkedin.com/company/canva,https://www.linkedin.com/company/2850862,canva.com,"We're a global online visual communications platform on a mission to empower the world to design. Featuring a simple drag-and-drop user interface and a vast range of templates ranging from presentations, documents, websites, social media graphics, posters, apparel to videos, plus a huge library of fonts, stock photography, illustrations, video footage, and audio clips, anyone can take an idea and create something beautiful on Canva on any device, from anywhere in the world.Since our launch in 2013, we’ve had the crazy big goal of making design accessible to everyone. We were founded on the belief that people shouldn't need to understand complex software to unlock their creativity. We’re leveling the playing field and democratizing access to design and visual communication by empowering 100% of the world to communicate in a way that was once limited to the 1%. We've always had a deeper mission surrounding Canva — which we talk about as our 'simple' two-step plan: to build one of the world’s most valuable companies, and to do the most good we possibly can. We're committed to our core value of Being a Force for Good, so as the value of our company grows, so too does our ability to have a positive impact on the world.",2012,7111,"Surry Hills, New South Wales, Australia",,,Surry Hills,,,"2 lacey street, surry hills, new south wales, australia",2010,+61401355781,software development,information technology and services,,,"Design,Graphic Design,Web app,Software engineering,Startup,Technology,Innovation,Publishing,product design",5001-10000,"https://twitter.com/canva, https://facebook.com/CanvaIndia/?brand_redir=373884039318606","graphic design, design, innovation, technology, publishing, software engineering, product design, startup, web app",,,,,,,
WiseTech Global,https://www.linkedin.com/company/wisetech-global,https://www.linkedin.com/company/13728,wisetechglobal.com,"Our innovations and global technology enable and empower the world’s supply chains. We are a force for good, improving productivity, connectivity and resource usage for over 17,000 of the world’s logistics companies across 183 countries, including 46 of the top 50 global third-party logistics providers and 25 of the 25 largest global freight forwarders worldwide.We invest relentlessly in product development, building the best technology and prioritizing highly scalable, long-term solutions. Our breakthrough software solutions are renowned for their powerful productivity, extensive functionality, comprehensive integration, deep compliance capabilities and truly global reach.",1994,2764,"Eveleigh, New South Wales, Australia",,,Alexandria,,,,,+61280012200,software development,,,,"Logistics management systems,Single-platform software,Supply chain and logistics software,Software-as-a-Service (SaaS),Supply chain and logisitcs technology,Platform-as-a-Service (PaaS),Enterprise-class software solutions,Cloud-based software,Productivity",1001-5000,"https://twitter.com/WiseTechGlobal, https://www.facebook.com/WiseTechGlobal",,,,,,,,
Australian Broadcasting Corporation (ABC),https://www.linkedin.com/company/australian-broadcasting-corporation,https://www.linkedin.com/company/2242,abc.net.au,"As the nation’s independent public broadcaster, the ABC is proud to be the source of Australian conversations, culture and stories.The ABC produces quality, distinctive, award-winning content that informs, educates and entertains audiences from across Australia and the world.Over 70% of Australians watch, read or listen to the ABC each week.The ABC has 56 Australian and 11 international locations and is the largest creative employer in the southern hemisphere. It maintains Australia’s largest daily investigative news team, has one of the world’s largest dedicated rural reporting teams and is recognised as Australia’s pre-eminent source of independent news and current affairs.The ABC is also known for its distinctive drama, and as the creator and broadcaster of innovative Australian comedy.ABC content is freely available in Australia and is made accessible across television, radio, podcasts, apps, and the web. These platforms and services include national radio networks (RN, triple j, ABC Classic), regional local radio (available from 48 regional locations), digital radio services, four television channels, ABC iview, and numerous websites and mobile apps.By ensuring audiences can easily experience ABC content, the ABC shares Australian stories with the nation and the world.The ABC is yours, now and into the future.",,8304,"Ultimo, New South Wales, Australia",,,Ultimo,,,,,,broadcast media production and distribution,,,,"Broadcasting,Digital",5001-10000,,,,,,,,,
MYOB,https://www.linkedin.com/company/myob,https://www.linkedin.com/company/7850,myob.com,"Whether you're just starting out, or running an established enterprise, you can manage your entire business with MYOB.One business management platform, with all your key workflows – from finance and supply chain to employee and project management – MYOB saves you time and money.Wherever your business is headed, MYOB adapts to meet your changing needs. Whilst providing the visibility and confidence you need to make better, more informed decisions.Unleash your business’s potential, with MYOB.",1991,2801,"Cremorne, Victoria, Australia",,,Cremorne,,,,,+61390454400,software development,information technology and services,,,"business management,business software,business services,enterprise ERP solutions,payroll,CRM,inventory management,financial services,accounting,employee management",1001-5000,"https://twitter.com/MYOB, https://www.facebook.com/MYOB","accounting, crm, business management, business software, payroll, business services, domain names, accountants, enterprise erp solutions",445000000,"Zendesk, WordPress.org, VueJS, Typeform, TripleLift, Taboola Newsroom, SparkPost, Shutterstock, Segment.io, Salesforce, Route 53, Responsys, React Redux, PrestaShop, Pardot, Outlook, Optimizely, Mobile Friendly, Mimecast, Microsoft Office 365, Mailchimp Mandrill, Lever, Jira, EventsAir by Centium, Django Language, Citrix NetScaler, Atlassian Confluence, Atlassian Cloud, Appcues, Apache, Amazon CloudFront, Amazon AWS","[{""id"":""631265bb27e4340001059e3b"",""date"":""2015-05-01T00:00:00.000+00:00"",""type"":""Other"",""amount"":""652M"",""currency"":""$"",""news_url"":null,""investors"":""""}]",652000000,2015-05-01,0,
Nine,https://www.linkedin.com/company/nine-entertainment-co.,https://www.linkedin.com/company/14933,nineforbrands.com.au,"Nine is Australia’s largest locally owned media company with investments spanning television, video on demand, print, digital, and radio. As the home of Australia’s most trusted and loved brands spanning news, business and finance, lifestyle, entertainment and sport, we pride ourselves on creating and curating quality content, accessed by consumers when and how they want.Nine’s assets include the 9Network, major mastheads such as The Sydney Morning Herald, The Age and Australian Financial Review, digital properties such as nine.com.au, 9Honey, Pedestrian Group, and Drive, subscription video platform Stan, talk-back radio and majority investments in Domain and Future Women.",,4188,"Willoughby, New South Wales, Australia",,,North Sydney,,,,,,broadcast media production and distribution,,,,,1001-5000,,,,,,,,,
