company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,company_email
Heritage Bank,https://www.linkedin.com/company/heritage-bank_4,https://www.linkedin.com/company/68461,heritage.com.au,"Heritage Bank has grown from our origins in Toowoomba in 1875 to become one of Australia’s largest customer-owned banks. Heritage is proudly customer-owned and committed to giving back to the communities we serve. In March 2023, Heritage Bank entered a new phase in our history, by merging with People’s Choice Credit Union to create Australia’s leading member-owned banking organisation. While we have now come together as a single organisation, we will continue to operate under the Heritage Bank and People’s Choice brands for an interim period while we continue our integration process. After that, we will adopt a single new brand.   facebook.com/heritagetwitter.com/heritagebank youtube.com/heritagepeoplefirst  Instagram@heritagebankHeritage Bank's Social Media Terms of Use available at https://www.heritage.com.au/terms-conditions",1875,758,"Westbrook, Queensland, Australia",,,Toowoomba,,,"400 ruthven st, toowoomba, queensland, australia",4350,+61131422,banking,,,,,501-1000,"https://twitter.com/heritagebank, https://www.facebook.com/heritage/","leasing, treasury management, commercial lending, construction financing, real estate lending, accounts receivable financing, commercial deposit services",28095000,"SiteCore, Rackspace MailGun, Microsoft Office 365, Google Tag Manager, Google Play, Genesys, Bootstrap Framework, ASP.NET",,,,,
Bendigo and Adelaide Bank,https://www.linkedin.com/company/bendigo-and-adelaide-bank,https://www.linkedin.com/company/162688,bendigoadelaide.com.au,"Our vision is to be Australia’s bank of choice. We strive for lasting success and commit to take the time to better understand our customers, partners and their communities to find ways to solve their problems, in a way that helps create value. Our purpose is to feed into the prosperity of our customers and their communities, not off it. As a company we value teamwork, encourage diversity and respect the contribution of each individual. We build a culture of trust and are open, honest and fair. We listen, understand – then deliver. We build our success through the success of others. We all lead by example. We show initiative, are accountable and empower others. We believe in the importance of what we do and are proud of our enviable reputation as a bank.",,4752,"Bendigo, Victoria, Australia",,,Bendigo,,,,,,banking,,,,Retail Banking,1001-5000,,,,,,,,,
ING Australia,https://www.linkedin.com/company/ing-australia,https://www.linkedin.com/company/387202,ing.com.au,"We exist to empower people to stay ahead, in business and in life. We’re proud to be part of ING Group, the world’s leading direct savings bank – and even prouder to be Australia’s most recommended bank. That’s because, for us, nothing matters more than being loved by our customers.Since we started out in 1999, we’ve reinvented the way Australians do their banking by delivering products that are simple, and good value – from Everyday Banking and Savings, to straightforward Home Loans and Super. With our 24/7 customer care and digital platforms, we’ve also given customers support round the clock – plus the freedom to do their banking anywhere, anytime. The driving force behind all of this has been simple: our desire to improve our customers’ lives by doing things differently. Everyone here shares the same forward-thinking approach, and a genuine desire to make a difference to the communities we’re part of. If you’re ready to be challenged to achieve your full potential, we are the place to make it happen. Here, you’ll have the freedom to put ideas into action, own the results, collaborate on a global scale – and make a genuine difference to people’s lives. Like to find out more? Visit  ing.com.au or find us on social media:Facebook - http://www.facebook.com/INGAustTwitter - https://twitter.com/ING_AustYouTube - https://www.youtube.com/c/INGAUSTOur Blog - http://blog.ing.com.au/ING is a business name of ING Bank (Australia) Limited ABN 24 000 893 292 AFSL 229823, Australian Credit Licence 229823. ING Living Super (which is part of the ING Direct Superannuation Fund ABN 13 355 603 448) is issued by Diversa Trustees Limited ABN 49 006 421 638, AFSL 235153. Any advice on this website does not take into account your objectives, financial situation or needs and you should consider whether it is appropriate for you. ",1999,1774,"Millers Point, New South Wales, Australia",,,Sydney,,,"60 margaret street, sydney, new south wales, australia",2000,+61801200111,banking,,,,,1001-2000,,,2200000000,"SendInBlue, Postmark, Incapsula, Google Tag Manager, Google Maps, Google Analytics, iTunes, WordPress.org, Salesforce Live Agent, Salesforce, Gravity Forms, Adobe Media Optimizer, YouTube, VueJS, Visual Website Optimizer, Outlook, Omniture (Adobe), Mobile Friendly, Microsoft Office 365, MailJet, Google Play, Facebook Custom Audiences, ExactTarget, Apache, Akamai DNS, Akamai, Adobe TestAndTarget, Adobe Marketing Cloud",,,,,
Bank of Melbourne,https://www.linkedin.com/company/bank-of-melbourne,https://www.linkedin.com/company/2032081,bankofmelbourne.com.au,"At Bank of Melbourne, we understand that everyone has the will. The will to be happy, to be there for the ones they love, to try something new. The will to get a place of their own or be their own boss. Sometimes what’s missing is the way. That’s where we come in. A city and state as progressive as ours deserves a bank that shares the same values. As your local bank, our team will work with you to find the way forward. We want to see your ambition – modest, medium or sky–high - become a reality. We do this through our dedication to customer service, by being small enough to get to know you so we can plan together, with our network of branches and our handy mobile banking app. We support our city’s progress through partnerships with iconic sporting venues like the MCG, and celebrate our food culture with events like Melbourne Food and Wine Festival. We’re investing in the arts with Collingwood Arts Precinct, where we’re helping create a new cultural destination for the city’s northern fringe. We’re also supporting our neighbours who need a helping hand, our Foundation has supported local communities with more than $3 million in grants since 2013. Get in touch at https://www.bankofmelbourne.com.au/contact-usWe’re committed to providing you with amazing service. We’d love to hear from you if there’s something we could be doing better.We welcome your contributions to our page. Please check our guidelines before you join the conversation: https://www.bankofmelbourne.com.au/contact-us/social-mediaBank of Melbourne acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past, present anBank of Melbourne - a Division of Westpac Banking Corporation.ABN 33 007 457 141. AFSL and Australian credit licence 233714.",2011,577,"Carlton, Victoria, Australia",,,Melbourne,,,"530 Collins Street, Melbourne, Victoria, Australia",3000,+61385367870,banking,,,,"Personal Banking,Business Banking,Insurance,Home Lending",501-1000,"https://twitter.com/BankofMelb, https://www.facebook.com/BankofMelbourne","insurance, business banking, personal banking, home lending",,,,,,,help@bankofmelbourne.com.au
Westpac,https://www.linkedin.com/company/westpac,https://www.linkedin.com/company/3597,westpac.com.au,"From rescue helicopters and signing the Equator Principles, to paying super during parental leave and initiatives like Westpac SaferPay and SafeCall to protect customers from scams... we have a proud history of stepping up to be first for our customers, communities and people. We are Australia’s oldest bank and first company and have been supporting customers for over 200 years. Our purpose is creating better futures together – it’s what we do, who we are and why we come to work every day. With this purpose in mind, we’ve set ourselves a bold ambition - to be our customers’ #1 bank and partner through life. Through our unique portfolio of brands comprising Westpac, St.George, Bank of Melbourne, BankSA, BT and RAMS, we’re focused on meeting the financial services needs of our 13 million customers. When you join Westpac Group, you’ll be empowered to make a difference, constructively challenge and create a future worth striving for. But best of all you’ll be joining a whole organisation of people who love working together to help others create their best future.  Westpac Group acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past, present and future.Westpac Banking Corporation ABN 33 007 457 141. AFSL and Australian credit licence 233714.",,15007,"Millers Point, New South Wales, Australia",,,Sydney,,,,,,banking,,,,"banking,financial services,institutional banking,corporate banking,migrant banking,business banking,personal banking,Private Bank,Agribusiness,investments",10000+,,,,,,,,,info@westpac.com.au
Bank of Sydney,https://www.linkedin.com/company/bank-of-sydney,https://www.linkedin.com/company/2333671,banksyd.com.au,"At Bank of Sydney, we strive to provide genuine value to our people, customers, communities and partners. We’re a bank that believes in the power of real human connection. We know that one straightforward conversation is better than talking to a machine and being placed on hold. That’s why our friendly, helpful team take the time to understand your situation and needs. The result is strong, enduring relationships with ongoing benefits.You work hard for your money. So we work just as hard for you, to drive success and a better future. At Bank of Sydney, we have relationship managers to help you with your banking needs and retail branches that you can visit in Sydney, Melbourne and Adelaide.We’re definitely not ones to blow our own trumpets, but we’re really proud to have won some of the most prestigious awards in the business. The wins reflect our customer satisfaction levels and 5-star product ratings. Bank of Sydney is an Australian Authorised Deposit-taking Institution (ADI). For your trust and confidence, we’re fully compliant with all our ASIC, AUSTRAC and all other regulatory and prudential requirements, while being a proud member of the Australian Banking Association (ABA). We’re also covered by the Australian Government Guarantee for deposits up to AU$250,000, so you can have peace of mind when banking with us. At Bank of Sydney we look forward to forging strong relationships with customers and community groups who are looking for a personal and rewarding banking experience.",2001,190,"Millers Point, New South Wales, Australia",,,Sydney,,,"219-223 castlereagh street, sydney, new south wales, australia",2000,+61282629191,banking,,,,"Relationship Banking,Commercial and Business Banking,Trade Finance,Construction Finance",51-200,"https://twitter.com/bankofsydney, https://www.facebook.com/BankOfSydney/","trade finance, relationship banking, construction finance, commercial & business banking",33682000,"reCAPTCHA, ZoneEdit, Sendgrid, Salesforce Live Agent, Salesforce, Outlook, Nginx, Mobile Friendly, Mimecast, Microsoft Office 365, Microsoft Application Insights, Google Tag Manager, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, EPiServer, CloudFlare Hosting, ASP.NET",,,,,
St.George Bank,https://www.linkedin.com/company/st-george-bank,https://www.linkedin.com/company/166115,stgeorge.com.au,"St.George Bank is one of Australia's leading Retail and Business Banks, serving over 2.6 million consumer, business and corporate customers in Australia.With more than 5700 staff and 396 St.George and BankSA retail branches, St.George is known for exceptional service, innovative, award-winning products, and specialist financial advice for retail and business customers.  In 2008, St.George and its South Australian brand, BankSA, became part of the Westpac Group.We'd love to have you contribute to our page. Our guidelines for joining the conversation are here:  https://www.stgeorge.com.au/contact-us/social-media St.George acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past, present and future.St.George Bank – A Division of Westpac Banking Corporation ABN 33 007 457 141AFSL and Australian credit licence 233714",1937,2910,"Millers Point, New South Wales, Australia",,,Sydney,,,,,+61291557800,banking,,,,"Home Lending,Business Banking,Personal Banking,Corporate Banking",1001-5000,"https://twitter.com/stgeorgebank, https://www.facebook.com/stgeorgebankaus",,,,,,,,
BankSA,https://www.linkedin.com/company/bank-sa,https://www.linkedin.com/company/2729489,banksa.com.au,"BankSA has been part of the fabric of South Australia since 1848, when The Savings Bank of South Australia began its life as a small one-person outfit. From the past to the future, we’re committed to backing the state. That’s why we back SA. It’s our commitment to the future of South Australia. #WeBackSAWe welcome your contributions to our page. Please check our guidelines before you join the conversation: https://www.banksa.com.au/contact-us/social-mediaBankSA acknowledges the traditional owners as the custodians of this land, recognising their connection to land, waters and community. We pay our respects to Australia's First Peoples, and to their Elders, past, present and future.BankSA - A Division of Westpac Banking Corporation. ABN 33 007 457 141. AFSL and Australian credit licence 233714.",1848,457,"Adelaide, South Australia, Australia",,,Adelaide,,,"97 king william street, adelaide, south australia 5000, au",5000,+61131376,banking,,,,"Home Lending,Agribusiness,Business banking,Personal banking",201-500,"http://www.twitter.com/banksa, https://www.facebook.com/BankSA","financial services, agribusiness, banks & credit unions, business banking, personal banking, home lending",,,,,,,
Judo Bank,https://www.linkedin.com/company/judobank,https://www.linkedin.com/company/10698260,judo.bank,"Judo Bank boldly backs business. Our purpose is simple: to be the most trusted SME business bank in Australia. As Australia’s only challenger bank purpose-built for small and medium businesses, we exist to help you secure the lending you need and the service you deserve to support and grow your business. Our relationship model places a priority on highly skilled, knowledgeable and imaginative relationship bankers who take the time to get to know you and your business. We work with you to provide banking expertise based on a deep understanding of your business’s opportunities and potential.  We welcome your contributions to our page. Please read our social media guidelines before joining the conversation: www.judo.bank/social-media Judo Bank Pty Ltd ABN 11 615 995 581  | AFSL and Australian Credit Licence 501091",2016,590,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,"40 city rd l 3, southbank, victoria, australia",3006,+61135836,banking,,,,"Providing finance to Australian businesses,SME Business loans,Business Loans,business banking,Banking,Business finance",501-1000,"https://twitter.com/Judo_Bank, https://www.facebook.com/judobankAus/","banking, business loans, business banking, business finance, sme business loans, providing finance to australian businesses",7000000,"The Trade Desk, StackAdapt, reCAPTCHA, YouTube, Taboola, Salesforce, Route 53, Outlook, Mobile Friendly, Microsoft-IIS, Microsoft Office 365, Google Tag Manager, Facebook Custom Audiences, Atlassian Cloud, Amazon Elastic Load Balancer, Amazon CloudFront, Amazon AWS","[{""id"":""60d444128b8f7000014e6334"",""date"":""2021-06-21T00:00:00.000+00:00"",""type"":""Debt Financing"",""amount"":""50M"",""currency"":""$"",""news_url"":""https:\/\/www.startupdaily.net\/2021\/06\/judo-bank-hits-1-9-billion-valuation-on-174-million-raise\/"",""investors"":""""},{""id"":""615e2e01a9547100018c3e7d"",""date"":""2021-06-01T00:00:00.000+00:00"",""type"":""Venture (Round not Specified)"",""amount"":""124M"",""currency"":""$"",""news_url"":null,""investors"":""UniSuper, Magnetar Capital""},{""id"":""615e2e01a9547100018c3e7f"",""date"":""2021-02-01T00:00:00.000+00:00"",""type"":""Venture (Round not Specified)"",""amount"":""284M"",""currency"":""$"",""news_url"":null,""investors"":""UniSuper, Magnetar Capital, Moore Strategic Ventures""},{""id"":""5fea962b0071100001f2edc2"",""date"":""2020-12-23T00:00:00.000+00:00"",""type"":""Series D"",""amount"":""284M"",""currency"":""$"",""news_url"":""https:\/\/www.startupdaily.net\/2020\/12\/neobank-judos-value-rises-60-following-280-million-series-d\/"",""investors"":""Magnetar Capital, Moore Strategic Ventures, UniSuper""},{""id"":""615e2e01a9547100018c3e81"",""date"":""2020-12-01T00:00:00.000+00:00"",""type"":""Series D"",""amount"":""280M"",""currency"":""$"",""news_url"":null,""investors"":""UniSuper, Magnetar Capital""},{""id"":""5eb54a31cf38630001b6d457"",""date"":""2020-05-07T00:00:00.000+00:00"",""type"":""Series C"",""amount"":""230M"",""currency"":""$"",""news_url"":""https:\/\/buff.ly\/2WbiORm"",""investors"":""Bain Capital Credit, Myer Family Investments, Abu Dhabi Capital Group, Ironbridge, SPF Investment Management, OPTrust, Tikehau Capital""},{""id"":""5eb93ea296621600014ee544"",""date"":""2020-04-02T00:00:00.000+00:00"",""type"":""Debt Financing"",""amount"":""500M"",""currency"":""$"",""news_url"":""https:\/\/www.afr.com\/companies\/financial-services\/prospa-zip-flexigroup-look-to-aofm-judo-bags-cheque-20200402-p54gep"",""investors"":""Australian Government""},{""id"":""5d3fddaca3ae6191eaf49d77"",""date"":""2019-08-07T00:00:00.000+00:00"",""type"":""Series B"",""amount"":""400M"",""currency"":""$"",""news_url"":""https:\/\/www.businessinsider.com\/judo-attracts-massive-series-b-funding-2019-8"",""investors"":""Tikehau Capital, Bain Capital Credit, OPTrust Private Markets Group, Abu Dhabi Capital Group, The Myer Family Company, SPF Investment Management, Ironbridge Capital""},{""id"":""5ca2facff6512514a775b287"",""date"":""2019-04-02T00:00:00.000+00:00"",""type"":""Debt Financing"",""amount"":""100M"",""currency"":""$"",""news_url"":""https:\/\/www.afr.com\/business\/banking-and-finance\/goldman-sachs-opens-100-million-funding-line-with-judo-20190401-p519ni"",""investors"":""Goldman Sachs""},{""id"":""5bfcddaca3ae615515d5b253"",""date"":""2018-11-26T00:00:00.000+00:00"",""type"":""Debt Financing"",""amount"":""350M"",""currency"":""$"",""news_url"":""https:\/\/www.bankingtech.com\/2018\/11\/australian-challenger-bank-judo-gets-350m-funding-boost\/"",""investors"":""Credit Suisse""},{""id"":""5abdd29fa3ae610d1dab5d8f"",""date"":""2018-08-02T00:00:00.000+00:00"",""type"":""Series A"",""amount"":""140M"",""currency"":""$"",""news_url"":""https:\/\/www.dealstreetasia.com\/stories\/australia-judo-capital-funding-103805\/?utm_content=buffer6e46b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer"",""investors"":""Ontario Pension Trust, Abu Dhabi Capital Group, Credit Suisse, Myer Family Investments""}]",2419164226,2021-06-21,0,info@judo.bank
Bank Australia,https://www.linkedin.com/company/bankaust,https://www.linkedin.com/company/762044,bankaust.com.au,"As B Corp certified customer-owned bank, we're doing banking differently. We share a belief with our customers that money can be used to create a world where people and the planet thrive. We empower our staff and customers to be part of the clean money movement.We achieve this by staying true to our purpose and values through our strategy, operations, products and services, and advocating to bring others on the journey. This means every role and person in our bank is essential to bringing our values, purpose and aspiration to life.As a customer-owned bank, we reinvest our profits to continually serve our customers through competitive rates and fees, responsible banking, and supporting positive impact.Our Contact Centre, lending operations and processing are based in the Latrobe Valley and Bendigo while our head office is in Collingwood, Melbourne. We also have branches in Melbourne and regional Victoria, Brisbane, Canberra and Sydney. ",,471,"Collingwood, Victoria, Australia",,,Collingwood,,,,,,banking,,,,"Banking,Responsible investment,General insurance",201-500,,,,,,,,,
